env_code	date	TMAX	TMIN	DL	GDD	PTT	PTR	PTS
DEH1_15	2015-04-29	73.94	43.64	13.707	11.97	164.0728	0.8733	669361.7785
DEH1_15	2015-04-30	72.02	49.94	13.744	11.01	151.3214	0.8011	508677.7923
DEH1_15	2015-05-01	57.98	45.38	13.78	3.99	54.9822	0.2896	247298.4993
DEH1_15	2015-05-02	71.36	41.36	13.816	10.68	147.5549	0.773	645486.0842
DEH1_15	2015-05-03	79.7	44.66	13.852	14.85	205.7022	1.072	836122.2424
DEH1_15	2015-05-04	83	50	13.887	16.5	229.1355	1.1882	846413.2471
DEH1_15	2015-05-05	83	62.36	13.922	22.68	315.751	1.6291	581510.9086
DEH1_15	2015-05-06	80.66	56.36	13.956	18.51	258.3256	1.3263	648503.2521
DEH1_15	2015-05-07	76.64	52.64	13.99	14.64	204.8136	1.0465	607264.6687
DEH1_15	2015-05-08	80.66	55.34	14.024	18	252.432	1.2835	677245.9489
DEH1_15	2015-05-09	81.68	63.68	14.057	22.68	318.8128	1.6134	517014.483
DEH1_15	2015-05-10	84.32	65	14.09	24.66	347.4594	1.7502	572726.251
DEH1_15	2015-05-11	79.04	65.3	14.122	22.17	313.0847	1.5699	395517.6312
DEH1_15	2015-05-12	88.04	64.64	14.154	26.34	372.8164	1.861	715741.8166
DEH1_15	2015-05-13	78.32	56.36	14.185	17.34	245.9679	1.2224	595105.7188
DEH1_15	2015-05-14	70.04	47.3	14.216	10.02	142.4443	0.7048	539251.5149
DEH1_15	2015-05-15	75.26	45.62	14.246	12.63	179.927	0.8866	727140.8284
DEH1_15	2015-05-16	83.6	58.34	14.276	20.97	299.3677	1.4689	730720.3894
DEH1_15	2015-05-17	83.66	66.92	14.305	25.29	361.7734	1.7679	515820.3487
DEH1_15	2015-05-18	87.68	66.32	14.334	27	387.018	1.8836	675860.0396
DEH1_15	2015-05-19	83.3	66.62	14.362	24.96	358.4755	1.7379	515804.9013
DEH1_15	2015-05-20	71.96	53.6	14.39	12.78	183.9042	0.8881	477359.502
DEH1_15	2015-05-21	57.02	47.66	14.416	3.51	50.6002	0.2435	203624.0682
DEH1_15	2015-05-22	73.04	48.62	14.443	11.52	166.3834	0.7976	619738.2397
DEH1_15	2015-05-23	71	48.32	14.468	10.5	151.914	0.7257	566465.2787
DEH1_15	2015-05-24	78.38	46.34	14.493	14.19	205.6557	0.9791	839354.0572
DEH1_15	2015-05-25	81.98	55.7	14.518	18.84	273.5191	1.2977	762622.8302
DEH1_15	2015-05-26	84.68	57.32	14.541	21	305.361	1.4442	821472.4186
DEH1_15	2015-05-27	87.02	61.64	14.564	24.33	354.3421	1.6706	800289.4408
DEH1_15	2015-05-28	85.34	68	14.586	26.67	389.0086	1.8285	565688.0057
DEH1_15	2015-05-29	84.98	64.34	14.608	24.66	360.2333	1.6881	657671.761
DEH1_15	2015-05-30	85.94	64.34	14.628	25.14	367.7479	1.7186	694584.1054
DEH1_15	2015-05-31	87.74	67.34	14.648	27.54	403.4059	1.8801	678801.2327
DEH1_15	2015-06-01	90.02	68.3	14.667	29.16	427.6897	1.9881	739738.4383
DEH1_15	2015-06-02	74.66	56.96	14.686	15.81	232.1857	1.0765	502460.8175
DEH1_15	2015-06-03	60.68	55.64	14.703	8.16	119.9765	0.555	126735.0803
DEH1_15	2015-06-04	61.7	57.32	14.72	9.51	139.9872	0.6461	112956.0967
DEH1_15	2015-06-05	66.02	58.28	14.736	12.15	179.0424	0.8245	208915.8138
DEH1_15	2015-06-06	78.38	58.34	14.751	18.36	270.8284	1.2447	596173.5347
DEH1_15	2015-06-07	74.66	53.66	14.765	14.16	209.0724	0.959	587463.0399
DEH1_15	2015-06-08	83.3	57.98	14.779	20.64	305.0386	1.3966	781329.9748
DEH1_15	2015-06-09	84.32	68.36	14.791	26.34	389.5949	1.7808	533101.7552
DEH1_15	2015-06-10	83	61.34	14.803	22.17	328.1825	1.4977	685085.2726
DEH1_15	2015-06-11	90.62	63.68	14.813	27.15	402.173	1.8328	912114.927
DEH1_15	2015-06-12	91.7	72.62	14.823	32.16	476.7077	2.1696	688875.9355
DEH1_15	2015-06-13	90.68	73.04	14.832	31.86	472.5475	2.1481	635330.5667
DEH1_15	2015-06-14	89.66	72.02	14.84	30.84	457.6656	2.0782	628091.1631
DEH1_15	2015-06-15	88.34	72.68	14.847	30.51	452.982	2.055	555838.9765
DEH1_15	2015-06-16	92.6	72.32	14.853	32.46	482.1284	2.1854	737852.6458
DEH1_15	2015-06-17	83.72	67.64	14.858	25.68	381.5534	1.7284	537301.2754
DEH1_15	2015-06-18	86.36	69.38	14.863	27.87	414.2318	1.8751	584185.552
DEH1_15	2015-06-19	86	70.34	14.866	28.17	418.7752	1.8949	541065.8481
DEH1_15	2015-06-20	87.68	71.06	14.868	29.37	436.6732	1.9754	583206.6942
DEH1_15	2015-06-21	88.7	71.66	14.87	30.18	448.7766	2.0296	604209.5357
DEH1_15	2015-06-22	88.7	72.68	14.87	30.69	456.3603	2.0639	571655.2021
DEH1_15	2015-06-23	93.98	71.66	14.87	32.82	488.0334	2.2071	817487.93
DEH1_15	2015-06-24	85.64	66.32	14.868	25.98	386.2706	1.7474	648995.2404
DEH1_15	2015-06-25	84.62	62.06	14.866	23.34	346.9724	1.57	731304.513
DEH1_15	2015-06-26	77.3	65.36	14.863	21.33	317.0278	1.4351	376287.2491
DEH1_15	2015-06-27	77.36	62.96	14.858	20.16	299.5373	1.3568	446069.7535
DEH1_15	2015-06-28	80	65.6	14.853	22.8	338.6484	1.535	462543.1239
DEH1_15	2015-06-29	80.36	60.68	14.847	20.52	304.6604	1.3821	611849.7831
DEH1_15	2015-06-30	86	64.34	14.84	25.17	373.5228	1.6961	717134.8038
DEH1_15	2015-07-01	85.64	69.08	14.832	27.36	405.8035	1.8447	563645.732
DEH1_15	2015-07-02	77.3	66.32	14.823	21.81	323.2896	1.4714	346489.0224
DEH1_15	2015-07-03	80.96	61.4	14.814	21.18	313.7605	1.4297	611084.841
DEH1_15	2015-07-04	81.02	68.36	14.803	24.69	365.4861	1.6679	414405.6224
DEH1_15	2015-07-05	83.66	68.06	14.791	25.86	382.4953	1.7484	517800.5489
DEH1_15	2015-07-06	87.38	71.06	14.779	29.22	431.8424	1.9771	564774.5087
DEH1_15	2015-07-07	88.04	73.34	14.766	30.69	453.1685	2.0784	517240.7992
DEH1_15	2015-07-08	88.64	75.32	14.752	31.98	471.769	2.1678	475273.8743
DEH1_15	2015-07-09	89.66	73.64	14.737	31.65	466.426	2.1477	568155.0399
DEH1_15	2015-07-10	84.47	69.68	14.721	27.075	398.5711	1.8392	494067.5475
DEH1_15	2015-07-11	79.52	65.66	14.704	22.59	332.1634	1.5363	435051.8406
DEH1_15	2015-07-12	84.62	62	14.687	23.31	342.354	1.5871	715405.0566
DEH1_15	2015-07-13	85.04	64.34	14.668	24.69	362.1529	1.6833	665280.2075
DEH1_15	2015-07-14	85.04	69.02	14.649	27.03	395.9625	1.8452	529624.8613
DEH1_15	2015-07-15	81.68	70.7	14.63	26.19	383.1597	1.7902	358112.0722
DEH1_15	2015-07-16	78.68	63.68	14.609	21.18	309.4186	1.4498	455743.2201
DEH1_15	2015-07-17	82.64	60.02	14.588	21.33	311.162	1.4622	686730.4893
ILH1_15	2015-04-30	58.16	36.5	13.832	4.08	56.4346	0.295	392278.8676
ILH1_15	2015-05-01	70.16	35.78	13.87	10.08	139.8096	0.7267	700678.4541
ILH1_15	2015-05-02	76.4	49.28	13.908	13.2	183.5856	0.9491	659303.2571
ILH1_15	2015-05-03	82.58	55.88	13.946	19.23	268.1816	1.3789	719009.9665
ILH1_15	2015-05-04	80.72	59.18	13.983	19.95	278.9608	1.4267	589201.8866
ILH1_15	2015-05-05	85.88	60.38	14.02	23.13	324.2826	1.6498	733097.5647
ILH1_15	2015-05-06	86	59.24	14.056	22.62	317.9467	1.6093	767884.4028
ILH1_15	2015-05-07	85.94	58.34	14.092	22.14	311.9969	1.5711	790788.7545
ILH1_15	2015-05-08	84.5	63.32	14.127	23.91	337.7766	1.6925	624825.9297
ILH1_15	2015-05-09	75.44	62.6	14.162	19.02	269.3612	1.343	355483.2602
ILH1_15	2015-05-10	80	62.66	14.197	21.33	302.822	1.5024	498591.049
ILH1_15	2015-05-11	72.2	51.8	14.231	12	170.772	0.8432	512298.0348
ILH1_15	2015-05-12	63.02	46.1	14.265	6.51	92.8651	0.4564	375706.1187
ILH1_15	2015-05-13	65.9	42.2	14.298	7.95	113.6691	0.556	523750.7109
ILH1_15	2015-05-14	70.7	48.14	14.33	10.35	148.3155	0.7223	550546.6435
ILH1_15	2015-05-15	83	59.6	14.362	21.3	305.9106	1.4831	688280.1231
ILH1_15	2015-05-16	79.94	64.46	14.394	22.2	319.5468	1.5423	463128.1149
ILH1_15	2015-05-17	82.34	65.36	14.425	23.85	344.0363	1.6534	521854.9711
ILH1_15	2015-05-18	83.06	51.62	14.455	17.34	250.6497	1.1996	884752.5787
ILH1_15	2015-05-19	63.05	43.52	14.485	6.525	94.5146	0.4505	436690.9666
ILH1_15	2015-05-20	50.78	44.36	14.514	0.39	5.6605	0.0269	128668.5517
ILH1_15	2015-05-21	65.78	44.36	14.542	7.89	114.7364	0.5426	498899.2135
ILH1_15	2015-05-22	77.66	47.66	14.57	13.83	201.5031	0.9492	798106.31
ILH1_15	2015-05-23	80.12	56.48	14.597	18.3	267.1251	1.2537	688058.5369
ILH1_15	2015-05-24	85.46	62.24	14.624	23.85	348.7824	1.6309	733457.692
ILH1_15	2015-05-25	83.12	67.1	14.649	25.11	367.8364	1.7141	516423.7743
ILH1_15	2015-05-26	78.5	65.42	14.674	21.96	322.241	1.4965	405346.03
ILH1_15	2015-05-27	80.48	59.72	14.699	20.1	295.4499	1.3674	628855.6144
ILH1_15	2015-05-28	85.7	54.5	14.722	20.1	295.9122	1.3653	948060.8972
ILH1_15	2015-05-29	85.16	65.12	14.745	25.14	370.6893	1.705	654769.5243
ILH1_15	2015-05-30	76.04	49.4	14.767	13.02	192.2663	0.8817	728710.1447
ILH1_15	2015-05-31	56.42	48.32	14.788	3.21	47.4695	0.2171	185530.9944
ILH1_15	2015-06-01	67.52	52.28	14.808	9.9	146.5992	0.6686	400345.173
ILH1_15	2015-06-02	72.92	50.54	14.827	11.73	173.9207	0.7911	607425.3743
ILH1_15	2015-06-03	76.88	51.92	14.846	14.4	213.7824	0.97	708564.4456
ILH1_15	2015-06-04	81.68	55.88	14.864	18.78	279.1459	1.2635	784121.3274
ILH1_15	2015-06-05	85.82	56.3	14.881	21.06	313.3939	1.4152	929042.9356
ILH1_15	2015-06-06	78.92	54.86	14.897	16.89	251.6103	1.1338	714306.2501
ILH1_15	2015-06-07	89.18	61.64	14.912	25.41	378.9139	1.704	923622.8368
ILH1_15	2015-06-08	81.8	64.34	14.926	23.07	344.3428	1.5456	568460.4008
ILH1_15	2015-06-09	85.52	59.9	14.939	22.71	339.2647	1.5202	831469.4947
ILH1_15	2015-06-10	89.96	66.8	14.951	28.38	424.3094	1.8982	811548.1514
ILH1_15	2015-06-11	88.58	67.4	14.963	27.99	418.8144	1.8706	739660.1541
ILH1_15	2015-06-12	86.6	67.4	14.973	27	404.271	1.8032	662887.1475
ILH1_15	2015-06-13	85.52	68.96	14.983	27.24	408.1369	1.8181	574288.543
ILH1_15	2015-06-14	82.94	71.3	14.991	27.12	406.5559	1.8091	403469.96
ILH1_15	2015-06-15	86.9	70.28	14.998	28.59	428.7928	1.9063	587617.8806
ILH1_15	2015-06-16	80.48	64.58	15.005	22.53	338.0627	1.5015	519298.1758
ILH1_15	2015-06-17	76.88	63.38	15.01	20.13	302.1513	1.3411	426607.9924
ILH1_15	2015-06-18	83.06	66.62	15.015	24.84	372.9726	1.6543	554774.2063
ILH1_15	2015-06-19	74.42	63.68	15.018	19.05	286.0929	1.2685	334520.0553
ILH1_15	2015-06-20	81.74	66.56	15.021	24.15	362.7572	1.6077	507937.895
ILH1_15	2015-06-21	82.7	67.16	15.022	24.93	374.4985	1.6596	525523.6413
ILH1_15	2015-06-22	86.6	69.98	15.023	28.29	425.0007	1.8831	587327.9148
ILH1_15	2015-06-23	80.66	63.02	15.022	21.84	328.0805	1.4539	571939.9267
ILH1_15	2015-06-24	74.72	62.3	15.021	18.51	278.0387	1.2323	383975.2672
ILH1_15	2015-06-25	81.02	65.9	15.018	23.46	352.3223	1.5621	501022.1322
ILH1_15	2015-06-26	71.9	64.16	15.015	18.03	270.7205	1.2008	237422.6239
ILH1_15	2015-06-27	75.74	56.78	15.01	16.26	244.0626	1.0833	566084.345
ILH1_15	2015-06-28	77	54.92	15.005	15.96	239.4798	1.0636	655815.5519
ILH1_15	2015-06-29	78.68	63.44	14.999	21.06	315.8789	1.4041	487264.5049
ILH1_15	2015-06-30	81.32	62.84	14.991	22.08	331.0013	1.4729	598698.1951
ILH1_15	2015-07-01	75.8	60.56	14.983	18.18	272.3909	1.2134	466519.1961
ILH1_15	2015-07-02	76.16	57.62	14.973	16.89	252.894	1.128	556056.0504
ILH1_15	2015-07-03	76.4	59.66	14.963	18.03	269.7829	1.205	509944.9228
ILH1_15	2015-07-04	79.46	56.24	14.952	17.85	266.8932	1.1938	704434.536
ILH1_15	2015-07-05	82.34	57.26	14.939	19.8	295.7922	1.3254	781368.6904
ILH1_15	2015-07-06	86.9	61.82	14.926	24.36	363.5974	1.6321	830967.0122
ILH1_15	2015-07-07	75.5	55.58	14.912	15.54	231.7325	1.0421	580627.4406
ILH1_15	2015-07-08	71.42	55.1	14.897	13.26	197.5342	0.8901	458223.0938
ILH1_15	2015-07-09	67.88	60.56	14.881	14.22	211.6078	0.9556	208197.5484
ILH1_15	2015-07-10	78.32	61.16	14.865	19.74	293.4351	1.328	528882.3201
ILH1_15	2015-07-11	79.58	59.96	14.847	19.77	293.5252	1.3316	603497.0322
ILH1_15	2015-07-12	85.82	69.98	14.828	27.9	413.7012	1.8816	542609.99
ILH1_15	2015-07-13	90.74	71.9	14.809	31.32	463.8179	2.1149	671985.2344
ILH1_15	2015-07-14	86.3	64.1	14.789	25.2	372.6828	1.704	730261.5399
ILH1_15	2015-07-15	79.82	59.3	14.768	19.56	288.8621	1.3245	622601.6866
ILH1_15	2015-07-16	82.76	63.98	14.746	23.37	344.614	1.5848	599228.6395
ILH1_15	2015-07-17	89.96	72.2	14.724	31.08	457.6219	2.1108	624364.6619
ILH1_15	2015-07-18	90.62	71	14.7	30.81	452.907	2.0959	685218.019
INH1_15	2015-05-14	64.7	42.68	14.365	7.35	105.5827	0.5117	487923.7688
INH1_15	2015-05-15	74	49.28	14.397	12	172.764	0.8335	631662.5096
INH1_15	2015-05-16	80.96	59.72	14.429	20.34	293.4859	1.4097	622098.7646
INH1_15	2015-05-17	76.04	63.68	14.461	19.86	287.1955	1.3733	361138.4252
INH1_15	2015-05-18	80.06	59.3	14.492	19.68	285.2026	1.358	607606.1172
INH1_15	2015-05-19	75.68	44.66	14.522	12.84	186.4625	0.8842	787235.4915
INH1_15	2015-05-20	56.36	38.96	14.551	3.18	46.2722	0.2185	351171.258
INH1_15	2015-05-21	56.66	41.66	14.58	3.33	48.5514	0.2284	313507.6747
INH1_15	2015-05-22	69.68	43.04	14.608	9.84	143.7427	0.6736	640791.4686
INH1_15	2015-05-23	77	49.64	14.636	13.5	197.586	0.9224	742218.5367
INH1_15	2015-05-24	81.38	54.68	14.663	18.03	264.3739	1.2296	781065.3955
INH1_15	2015-05-25	83.72	62.66	14.689	23.19	340.6379	1.5787	665157.621
INH1_15	2015-05-26	81.68	64.04	14.714	22.86	336.362	1.5536	556518.0398
INH1_15	2015-05-27	78.38	61.7	14.739	20.04	295.3696	1.3597	507584.3427
INH1_15	2015-05-28	80.36	52.04	14.763	16.2	239.1606	1.0973	817203.981
INH1_15	2015-05-29	82.94	59.3	14.786	21.12	312.2803	1.4284	735140.9574
INH1_15	2015-05-30	83.66	60.98	14.808	22.32	330.5146	1.5073	719323.5432
INH1_15	2015-05-31	72.02	52.04	14.83	12.03	178.4049	0.8112	545141.8991
