env_code	Date	Tmax	Tmin	DL	GDD	PTT	PTR	PTS
PR11	20101204	84.2	69.8	11.88	27	320.76	2.272727273	312979.6454
PR11	20101205	86	62.6	11.9	24.3	289.17	2.042016807	492411.9564
PR11	20101206	87.8	64.4	11.88	26.1	310.068	2.196969697	502647.3429
PR11	20101207	84.2	71.6	11.87	27.9	331.173	2.350463353	276591.8865
PR11	20101208	86	73.4	11.87	29.7	352.539	2.50210615	282982.9698
PR11	20101209	87.8	71.6	11.87	29.7	352.539	2.50210615	363835.2469
PR11	20101210	86	73.4	11.87	29.7	352.539	2.50210615	282982.9698
PR11	20101211	84.2	68	11.85	26.1	309.285	2.202531646	346231.3329
PR11	20101212	87.8	71.6	11.87	29.7	352.539	2.50210615	363835.2469
PR11	20101213	87.8	69.8	11.85	28.8	341.28	2.430379747	398350.548
PR11	20101214	87.8	73.4	11.85	30.6	362.61	2.582278481	325959.9408
PR11	20101215	86	73.4	11.85	29.7	351.945	2.506329114	282030.1659
PR11	20101216	84.2	73.4	11.83	28.8	340.704	2.434488588	238204.2237
PR11	20101217	84.2	69.8	11.85	27	319.95	2.278481013	311400.936
PR11	20101218	84.2	64.4	11.83	24.3	287.469	2.054099746	411768.8495
PR11	20101219	86	69.8	11.85	27.9	330.615	2.35443038	354420.7731
PR11	20101220	82.4	71.6	11.83	27	319.41	2.282333052	232763.0105
PR11	20101221	86	66.2	11.85	26.1	309.285	2.202531646	423171.6291
PR11	20101222	84.2	69.8	11.83	27	319.41	2.282333052	310350.6806
PR11	20101223	84.2	73.4	11.85	28.8	341.28	2.430379747	239010.3288
PR11	20101224	84.2	62.6	11.83	23.4	276.822	1.978021978	443761.168
PR11	20101225	86	64.4	11.85	25.2	298.62	2.126582278	456182.1504
PR11	20101226	84.2	66.2	11.83	25.2	298.116	2.130177515	378869.6621
PR11	20101227	87.8	75.2	11.85	31.5	373.275	2.658227848	288399.7305
PR11	20101228	82.4	71.6	11.87	27	320.49	2.274641955	234339.7241
PR11	20101229	89.6	68	11.85	28.8	341.28	2.430379747	478020.6576
PR11	20101230	84.2	66.2	11.87	25.2	299.124	2.122999158	381436.0877
PR11	20101231	86	64.4	11.85	25.2	298.62	2.126582278	456182.1504
PR11	20110101	86	62.6	11.87	24.3	288.441	2.047177759	489932.3366
PR11	20110102	82.4	69.8	11.87	26.1	309.807	2.198820556	270200.8031
PR11	20110103	82.4	73.4	11.87	27.9	331.173	2.350463353	197565.6332
PR11	20110104	80.6	69.8	11.88	25.2	299.376	2.121212121	229247.4286
PR11	20110105	84.2	69.8	11.88	27	320.76	2.272727273	312979.6454
PR11	20110106	86	69.8	11.88	27.9	331.452	2.348484848	356217.5802
