line_code	env_code	FTdap	FTgdd
Line1	FU_08	80.5	2428.935
Line1	HA_08	72.5	2546.73
Line1	ISA_08	102.5	2126.61
Line1	ISI_08	74	2640.87
Line1	TH_08	73	2561.49
Line1	TS_07	90.5	2238.8625
Line1	TS_08E	117.5	2095.92
Line1	TS_08L	76.5	2289.0825
Line1	TS_09	101.5	2339.6175
Line10	FU_08	91.5	2732.34
Line10	HA_08	72	2546.73
Line10	ISA_08	107.5	2295.36
Line10	ISI_08	71.5	2539.17
Line10	TH_08	73.5	2561.49
Line10	TS_07	95.5	2425.0275
Line10	TS_08E	125.5	2355.57
Line10	TS_08L	81.5	2429.7525
Line10	TS_09	109	2590.605
Line100	FU_08	106	3165.105
Line100	HA_08	73.5	2581.695
Line100	ISA_08	139.5	3234.915
Line100	ISI_08	78	2778.93
Line100	TH_08	NA	NA
Line100	TS_07	122	3264.1875
Line100	TS_08E	159	3429.54
Line100	TS_08L	92	2715.2775
Line100	TS_09	138	3393.5625
Line101	FU_08	90.5	2700.18
Line101	HA_08	66.5	2335.05
Line101	ISA_08	121	2747.79
Line101	ISI_08	68	2438.325
Line101	TH_08	NA	NA
Line101	TS_07	109	2887.38
Line101	TS_08E	141.5	2913.7725
Line101	TS_08L	81	2429.7525
Line101	TS_09	119.5	2906.01
Line102	FU_08	95.5	2849.01
Line102	HA_08	79.5	2789.325
Line102	ISA_08	114.5	2539.575
Line102	ISI_08	85	2990.34
Line102	TH_08	NA	NA
Line102	TS_07	105.5	2765.8575
Line102	TS_08E	126	2391.93
Line102	TS_08L	92	2715.2775
Line102	TS_09	109.5	2590.605
Line103	FU_08	83.5	2511.96
Line103	HA_08	67.5	2372.67
Line103	ISA_08	112	2466.585
Line103	ISI_08	67	2401.065
Line103	TH_08	65	2307.465
Line103	TS_07	101	2634.5025
Line103	TS_08E	134	2673.2925
Line103	TS_08L	74.5	2228.1075
Line103	TS_09	112	2685.195
Line104	FU_08	71.5	2133.735
Line104	HA_08	62.5	2186.235
Line104	ISA_08	90	1725.0975
Line104	ISI_08	57.5	2043.63
Line104	TH_08	59	2099.835
Line104	TS_07	87	2124.4725
Line104	TS_08E	107	1762.92
Line104	TS_08L	63	1906.155
Line104	TS_09	91.5	2045.16
Line105	FU_08	76	2304.375
Line105	HA_08	67.5	2372.67
Line105	ISA_08	102	2126.61
Line105	ISI_08	63.5	2260.17
Line105	TH_08	61.5	2171.43
Line105	TS_07	91	2274.0075
Line105	TS_08E	121.5	2229.5475
Line105	TS_08L	69	2069.01
Line105	TS_09	101.5	2339.6175
Line106	FU_08	97	2909.79
Line106	HA_08	76.5	2688.885
