Loc	Rep	Entry	FT	FTGDD
IA13	1	5	85	1890.5
IA13	1	6	80	1748
IA13	1	7	93	2107
IA13	1	8	88	1985.5
IA13	1	9	83	1829.5
IA13	1	10	89	2017.5
IA13	1	11	80	1748
IA13	1	12	94	2130.5
IA13	1	13	84	1859
IA13	1	14	85	1890.5
IA13	1	15	86	1923
IA13	1	16	77	1673.5
IA13	1	17	97	2212
IA13	1	18	70	1555
IA13	1	19	87	1954.5
IA13	1	20	83	1829.5
IA13	1	21	73	1611
IA13	1	22	90	2048
IA13	1	23	86	1923
IA13	1	24	81	1777
IA13	1	25	78	1693.5
IA13	1	27	70	1555
IA13	1	28	88	1985.5
IA13	1	29	78	1693.5
IA13	1	30	78	1693.5
IA13	1	31	89	2017.5
IA13	1	32	88	1985.5
IA13	1	33	82	1802
IA13	1	34	87	1954.5
IA13	1	35	81	1777
IA13	1	36	94	2130.5
IA13	1	37	83	1829.5
IA13	1	38	83	1829.5
IA13	1	39	73	1611
IA13	1	40	78	1693.5
IA13	1	41	84	1859
IA13	1	42	79	1719.5
IA13	1	43	85	1890.5
IA13	1	44	86	1923
IA13	1	45	71	1579
IA13	1	46	84	1859
IA13	1	47	82	1802
IA13	1	48	78	1693.5
IA13	1	49	81	1777
IA13	1	50	87	1954.5
IA13	1	51	83	1829.5
IA13	1	52	93	2107
IA13	1	53	78	1693.5
IA13	1	54	86	1923
IA13	1	55	75	1639.5
IA13	1	56	83	1829.5
IA13	1	57	77	1673.5
IA13	1	58	84	1859
IA13	1	59	68	1515
IA13	1	60	81	1777
IA13	1	61	79	1719.5
IA13	1	62	75	1639.5
IA13	1	63	82	1802
IA13	1	64	81	1777
IA13	1	65	82	1802
IA13	1	66	84	1859
IA13	1	68	80	1748
IA13	1	69	90	2048
IA13	1	70	79	1719.5
IA13	1	71	77	1673.5
IA13	1	72	82	1802
IA13	1	73	94	2130.5
IA13	1	74	94	2130.5
IA13	1	75	85	1890.5
IA13	1	76	88	1985.5
IA13	1	77	.	.
IA13	1	78	79	1719.5
IA13	1	79	82	1802
IA13	1	80	83	1829.5
IA13	1	81	81	1777
IA13	1	82	80	1748
IA13	1	83	76	1656
IA13	1	84	81	1777
IA13	1	85	82	1802
IA13	1	86	87	1954.5
IA13	1	87	85	1890.5
IA13	1	88	88	1985.5
IA13	1	89	89	2017.5
IA13	1	90	92	2092.5
IA13	1	91	78	1693.5
IA13	1	92	87	1954.5
IA13	1	93	85	1890.5
IA13	1	94	88	1985.5
IA13	1	95	86	1923
IA13	1	96	82	1802
IA13	1	97	80	1748
IA13	1	98	77	1673.5
IA13	1	99	87	1954.5
IA13	1	100	.	.
IA13	1	101	81	1777
IA13	1	102	73	1611
IA13	1	103	93	2107
IA13	1	104	86	1923
IA13	1	105	85	1890.5
IA13	1	106	87	1954.5
IA13	1	107	90	2048
IA13	1	108	84	1859
IA13	1	109	82	1802
IA13	1	110	81	1777
IA13	1	111	89	2017.5
IA13	1	112	82	1802
IA13	1	113	73	1611
IA13	1	114	80	1748
IA13	1	115	95	2158
IA13	1	116	88	1985.5
IA13	1	117	78	1693.5
IA13	1	118	70	1555
IA13	1	119	86	1923
IA13	1	120	90	2048
IA13	1	121	78	1693.5
IA13	1	122	76	1656
IA13	1	123	84	1859
IA13	1	124	.	.
IA13	1	125	.	.
IA13	1	126	70	1555
IA13	1	127	88	1985.5
IA13	1	128	87	1954.5
IA13	1	129	87	1954.5
IA13	1	130	85	1890.5
IA13	1	131	80	1748
IA13	1	132	78	1693.5
IA13	1	133	87	1954.5
IA13	1	134	79	1719.5
IA13	1	135	84	1859
IA13	1	136	88	1985.5
IA13	1	137	83	1829.5
IA13	1	138	76	1656
IA13	1	139	77	1673.5
IA13	1	140	82	1802
IA13	1	141	81	1777
IA13	1	142	77	1673.5
IA13	1	143	81	1777
IA13	1	144	80	1748
IA13	1	145	82	1802
IA13	1	146	82	1802
IA13	1	147	85	1890.5
IA13	1	148	83	1829.5
IA13	1	149	77	1673.5
IA13	1	150	93	2107
IA13	1	151	79	1719.5
IA13	1	152	97	2212
IA13	1	153	93	2107
IA13	1	154	90	2048
IA13	1	156	84	1859
IA13	1	157	79	1719.5
IA13	1	158	.	.
IA13	1	159	94	2130.5
IA13	1	160	86	1923
IA13	1	162	69	1533.5
IA13	1	163	82	1802
IA13	1	164	90	2048
IA13	1	165	84	1859
IA13	1	166	79	1719.5
IA13	1	167	84	1859
IA13	1	168	.	.
IA13	1	169	.	.
IA13	1	170	86	1923
IA13	1	171	79	1719.5
IA13	1	172	81	1777
IA13	1	173	89	2017.5
IA13	1	174	81	1777
IA13	1	175	97	2212
IA13	1	176	81	1777
IA13	1	177	90	2048
IA13	1	178	77	1673.5
IA13	1	179	76	1656
IA13	1	180	90	2048
IA13	1	181	80	1748
IA13	1	182	78	1693.5
IA13	1	183	78	1693.5
IA13	1	184	72	1597.5
IA13	1	185	81	1777
IA13	1	186	85	1890.5
IA13	1	187	86	1923
IA13	1	188	81	1777
IA13	1	189	85	1890.5
IA13	1	190	85	1890.5
IA13	1	191	90	2048
IA13	1	192	85	1890.5
IA13	1	193	84	1859
IA13	1	194	84	1859
IA13	1	195	83	1829.5
IA13	1	196	82	1802
IA13	1	197	81	1777
IA13	1	198	86	1923
IA13	1	199	84	1859
IA13	1	200	69	1533.5
IA13	1	201	87	1954.5
IA13	1	202	99	2269
IA13	1	203	79	1719.5
IA13	1	204	84	1859
IA13	1	205	84	1859
IA13	1	206	78	1693.5
IA13	1	207	70	1555
IA13	1	208	77	1673.5
IA13	1	209	79	1719.5
IA13	1	210	.	.
IA13	1	211	93	2107
IA13	1	212	77	1673.5
IA13	1	213	77	1673.5
IA13	1	214	84	1859
IA13	1	215	89	2017.5
IA13	1	217	.	.
IA13	1	218	84	1859
IA13	1	219	82	1802
IA13	1	220	89	2017.5
IA13	1	221	89	2017.5
IA13	1	222	77	1673.5
IA13	1	223	.	.
IA13	1	224	81	1777
IA13	1	225	82	1802
IA13	1	226	84	1859
IA13	1	227	78	1693.5
IA13	1	229	91	2076.5
IA13	1	230	77	1673.5
IA13	1	231	95	2158
IA13	1	232	98	2238
IA13	1	233	78	1693.5
IA13	1	234	77	1673.5
IA13	1	235	82	1802
IA13	1	237	81	1777
IA13	1	238	84	1859
IA13	1	239	89	2017.5
IA13	1	240	86	1923
IA13	1	241	86	1923
IA13	1	242	86	1923
IA13	1	243	86	1923
IA13	1	244	88	1985.5
IA13	1	245	80	1748
IA13	1	246	92	2092.5
IA13	1	247	84	1859
IA13	1	248	.	.
IA13	2	5	83	1829.5
IA13	2	6	86	1923
IA13	2	7	90	2048
IA13	2	8	86	1923
IA13	2	9	85	1890.5
IA13	2	10	90	2048
IA13	2	11	83	1829.5
IA13	2	12	97	2212
IA13	2	13	.	.
IA13	2	14	84	1859
IA13	2	15	85	1890.5
IA13	2	16	.	.
IA13	2	17	98	2238
IA13	2	18	70	1555
IA13	2	19	86	1923
IA13	2	20	82	1802
IA13	2	21	67	1494.5
IA13	2	22	.	.
IA13	2	23	.	.
IA13	2	24	81	1777
IA13	2	25	77	1673.5
IA13	2	27	71	1579
IA13	2	28	87	1954.5
IA13	2	29	76	1656
IA13	2	30	73	1611
IA13	2	31	.	.
IA13	2	32	81	1777
IA13	2	33	78	1693.5
IA13	2	34	85	1890.5
IA13	2	35	78	1693.5
IA13	2	36	90	2048
IA13	2	37	77	1673.5
IA13	2	38	82	1802
IA13	2	39	65	1452
IA13	2	40	70	1555
IA13	2	41	85	1890.5
IA13	2	42	79	1719.5
IA13	2	43	84	1859
IA13	2	44	82	1802
IA13	2	45	67	1494.5
IA13	2	46	88	1985.5
IA13	2	47	81	1777
IA13	2	48	69	1533.5
IA13	2	49	75	1639.5
IA13	2	50	86	1923
IA13	2	51	82	1802
IA13	2	52	91	2076.5
IA13	2	53	77	1673.5
IA13	2	54	83	1829.5
IA13	2	55	78	1693.5
IA13	2	56	83	1829.5
IA13	2	57	72	1597.5
IA13	2	58	86	1923
IA13	2	59	78	1693.5
IA13	2	60	81	1777
IA13	2	61	81	1777
IA13	2	62	73	1611
IA13	2	63	80	1748
IA13	2	64	81	1777
IA13	2	65	82	1802
IA13	2	66	90	2048
IA13	2	68	79	1719.5
IA13	2	69	.	.
IA13	2	70	78	1693.5
IA13	2	71	78	1693.5
IA13	2	72	82	1802
IA13	2	73	85	1890.5
IA13	2	74	93	2107
IA13	2	75	84	1859
IA13	2	76	89	2017.5
IA13	2	77	.	.
IA13	2	78	81	1777
IA13	2	79	81	1777
IA13	2	80	81	1777
IA13	2	81	78	1693.5
IA13	2	82	89	2017.5
IA13	2	83	.	.
IA13	2	84	84	1859
IA13	2	85	80	1748
IA13	2	86	93	2107
IA13	2	87	84	1859
IA13	2	88	86	1923
IA13	2	89	84	1859
IA13	2	90	92	2092.5
IA13	2	91	81	1777
IA13	2	92	96	2184
IA13	2	93	85	1890.5
IA13	2	94	78	1693.5
IA13	2	95	87	1954.5
IA13	2	96	81	1777
IA13	2	97	81	1777
IA13	2	98	77	1673.5
IA13	2	99	88	1985.5
IA13	2	100	83	1829.5
IA13	2	101	84	1859
IA13	2	102	81	1777
IA13	2	103	92	2092.5
IA13	2	104	87	1954.5
IA13	2	105	88	1985.5
IA13	2	106	87	1954.5
IA13	2	107	86	1923
IA13	2	108	82	1802
IA13	2	109	86	1923
IA13	2	110	80	1748
IA13	2	111	89	2017.5
IA13	2	112	80	1748
IA13	2	113	78	1693.5
IA13	2	114	79	1719.5
IA13	2	115	99	2269
IA13	2	116	86	1923
IA13	2	117	75	1639.5
IA13	2	118	74	1626
IA13	2	119	86	1923
IA13	2	120	93	2107
IA13	2	121	75	1639.5
IA13	2	122	73	1611
IA13	2	123	86	1923
IA13	2	124	76	1656
IA13	2	125	83	1829.5
IA13	2	126	67	1494.5
IA13	2	127	91	2076.5
IA13	2	128	87	1954.5
IA13	2	129	.	.
IA13	2	130	85	1890.5
IA13	2	131	82	1802
IA13	2	132	79	1719.5
IA13	2	133	86	1923
IA13	2	134	77	1673.5
IA13	2	135	83	1829.5
IA13	2	136	72	1597.5
IA13	2	137	84	1859
IA13	2	138	81	1777
IA13	2	139	77	1673.5
IA13	2	140	81	1777
IA13	2	141	79	1719.5
IA13	2	142	78	1693.5
IA13	2	143	85	1890.5
IA13	2	144	88	1985.5
IA13	2	145	78	1693.5
IA13	2	146	79	1719.5
IA13	2	147	80	1748
IA13	2	148	72	1597.5
IA13	2	149	79	1719.5
IA13	2	150	90	2048
IA13	2	151	79	1719.5
IA13	2	152	88	1985.5
IA13	2	153	96	2184
IA13	2	154	89	2017.5
IA13	2	156	81	1777
IA13	2	157	79	1719.5
IA13	2	158	.	.
IA13	2	159	95	2158
IA13	2	160	81	1777
IA13	2	162	77	1673.5
IA13	2	163	82	1802
IA13	2	164	87	1954.5
IA13	2	165	83	1829.5
IA13	2	166	79	1719.5
IA13	2	167	80	1748
IA13	2	168	81	1777
IA13	2	169	81	1777
IA13	2	170	86	1923
IA13	2	171	77	1673.5
IA13	2	172	80	1748
IA13	2	173	87	1954.5
IA13	2	174	77	1673.5
IA13	2	175	97	2212
IA13	2	176	79	1719.5
IA13	2	177	91	2076.5
IA13	2	178	78	1693.5
IA13	2	179	77	1673.5
IA13	2	180	90	2048
IA13	2	181	75	1639.5
IA13	2	182	76	1656
IA13	2	183	77	1673.5
IA13	2	184	78	1693.5
IA13	2	185	78	1693.5
