Loc	Rep	Entry	FT
TH_08	1	Line1	73
HA_08	1	Line1	72
ISI_08	1	Line1	NA
TS_08L	1	Line1	77
FU_08	1	Line1	79
TS_07	1	Line1	90
TS_09	1	Line1	102
ISA_08	1	Line1	103
TS_08E	1	Line1	117
TH_08	2	Line1	73
HA_08	2	Line1	73
ISI_08	2	Line1	74
TS_08L	2	Line1	76
FU_08	2	Line1	82
TS_07	2	Line1	91
TS_09	2	Line1	101
ISA_08	2	Line1	102
TS_08E	2	Line1	118
TH_08	1	Line2	69
HA_08	1	Line2	70
ISI_08	1	Line2	NA
TS_08L	1	Line2	70
FU_08	1	Line2	75
TS_07	1	Line2	81
TS_09	1	Line2	89
ISA_08	1	Line2	90
TS_08E	1	Line2	107
TH_08	2	Line2	71
HA_08	2	Line2	72
ISI_08	2	Line2	65
TS_08L	2	Line2	69
FU_08	2	Line2	75
TS_07	2	Line2	82
TS_09	2	Line2	89
ISA_08	2	Line2	89
TS_08E	2	Line2	105
TH_08	1	Line3	64
HA_08	1	Line3	65
ISI_08	1	Line3	NA
TS_08L	1	Line3	70
FU_08	1	Line3	70
TS_07	1	Line3	88
TS_09	1	Line3	97
ISA_08	1	Line3	95
TS_08E	1	Line3	119
TH_08	2	Line3	64
HA_08	2	Line3	65
ISI_08	2	Line3	64
TS_08L	2	Line3	68
FU_08	2	Line3	72
TS_07	2	Line3	89
TS_09	2	Line3	97
ISA_08	2	Line3	95
TS_08E	2	Line3	119
TH_08	1	Line4	62
HA_08	1	Line4	63
ISI_08	1	Line4	NA
TS_08L	1	Line4	69
FU_08	1	Line4	79
TS_07	1	Line4	94
TS_09	1	Line4	106
ISA_08	1	Line4	107
TS_08E	1	Line4	127
TH_08	2	Line4	62
HA_08	2	Line4	64
ISI_08	2	Line4	66
TS_08L	2	Line4	71
FU_08	2	Line4	79
TS_07	2	Line4	94
TS_09	2	Line4	107
ISA_08	2	Line4	106
TS_08E	2	Line4	124
TH_08	1	Line5	67
HA_08	1	Line5	72
ISI_08	1	Line5	NA
TS_08L	1	Line5	62
FU_08	1	Line5	67
TS_07	1	Line5	79
TS_09	1	Line5	82
ISA_08	1	Line5	85
TS_08E	1	Line5	106
TH_08	2	Line5	68
HA_08	2	Line5	71
ISI_08	2	Line5	66
TS_08L	2	Line5	62
FU_08	2	Line5	69
TS_07	2	Line5	81
TS_09	2	Line5	82
ISA_08	2	Line5	83
TS_08E	2	Line5	97
TH_08	1	Line6	65
HA_08	1	Line6	69
ISI_08	1	Line6	NA
TS_08L	1	Line6	70
FU_08	1	Line6	77
TS_07	1	Line6	94
TS_09	1	Line6	104
ISA_08	1	Line6	105
TS_08E	1	Line6	126
TH_08	2	Line6	65
HA_08	2	Line6	68
ISI_08	2	Line6	66
TS_08L	2	Line6	70
FU_08	2	Line6	78
TS_07	2	Line6	96
TS_09	2	Line6	104
ISA_08	2	Line6	108
TS_08E	2	Line6	126
TH_08	1	Line7	80
HA_08	1	Line7	77
ISI_08	1	Line7	NA
TS_08L	1	Line7	71
FU_08	1	Line7	72
TS_07	1	Line7	82
TS_09	1	Line7	86
ISA_08	1	Line7	89
TS_08E	1	Line7	107
TH_08	2	Line7	78
HA_08	2	Line7	76
ISI_08	2	Line7	74
TS_08L	2	Line7	69
FU_08	2	Line7	72
TS_07	2	Line7	83
TS_09	2	Line7	87
ISA_08	2	Line7	88
TS_08E	2	Line7	106
TH_08	1	Line8	65
HA_08	1	Line8	66
ISI_08	1	Line8	NA
TS_08L	1	Line8	71
FU_08	1	Line8	78
TS_07	1	Line8	88
TS_09	1	Line8	97
ISA_08	1	Line8	99
TS_08E	1	Line8	117
TH_08	2	Line8	66
HA_08	2	Line8	66
ISI_08	2	Line8	65
TS_08L	2	Line8	72
FU_08	2	Line8	79
TS_07	2	Line8	88
TS_09	2	Line8	96
ISA_08	2	Line8	97
TS_08E	2	Line8	115
TH_08	1	Line9	65
HA_08	1	Line9	70
ISI_08	1	Line9	NA
TS_08L	1	Line9	76
FU_08	1	Line9	85
TS_07	1	Line9	99
TS_09	1	Line9	109
ISA_08	1	Line9	110
TS_08E	1	Line9	131
TH_08	2	Line9	65
HA_08	2	Line9	70
ISI_08	2	Line9	66
TS_08L	2	Line9	77
FU_08	2	Line9	86
TS_07	2	Line9	99
TS_09	2	Line9	109
ISA_08	2	Line9	110
TS_08E	2	Line9	130
TH_08	1	Line10	74
HA_08	1	Line10	72
ISI_08	1	Line10	72
TS_08L	1	Line10	81
FU_08	1	Line10	91
TS_07	1	Line10	95
TS_09	1	Line10	109
ISA_08	1	Line10	108
TS_08E	1	Line10	127
TH_08	2	Line10	73
HA_08	2	Line10	72
ISI_08	2	Line10	71
TS_08L	2	Line10	82
FU_08	2	Line10	92
TS_07	2	Line10	96
TS_09	2	Line10	109
ISA_08	2	Line10	107
TS_08E	2	Line10	124
TH_08	1	Line11	NA
HA_08	1	Line11	56
ISI_08	1	Line11	60
TS_08L	1	Line11	62
FU_08	1	Line11	71
TS_07	1	Line11	84
TS_09	1	Line11	93
ISA_08	1	Line11	91
TS_08E	1	Line11	110
TH_08	2	Line11	NA
HA_08	2	Line11	54
ISI_08	2	Line11	58
TS_08L	2	Line11	62
FU_08	2	Line11	71
TS_07	2	Line11	85
TS_09	2	Line11	94
ISA_08	2	Line11	90
TS_08E	2	Line11	107
TH_08	1	Line12	NA
HA_08	1	Line12	65
ISI_08	1	Line12	NA
TS_08L	1	Line12	66
FU_08	1	Line12	71
TS_07	1	Line12	93
TS_09	1	Line12	100
ISA_08	1	Line12	99
TS_08E	1	Line12	125
TH_08	2	Line12	NA
HA_08	2	Line12	64
ISI_08	2	Line12	62
TS_08L	2	Line12	67
FU_08	2	Line12	71
TS_07	2	Line12	92
TS_09	2	Line12	100
ISA_08	2	Line12	100
TS_08E	2	Line12	124
TH_08	1	Line13	NA
HA_08	1	Line13	66
ISI_08	1	Line13	66
TS_08L	1	Line13	69
FU_08	1	Line13	75
TS_07	1	Line13	88
TS_09	1	Line13	101
ISA_08	1	Line13	102
TS_08E	1	Line13	119
TH_08	2	Line13	NA
HA_08	2	Line13	67
ISI_08	2	Line13	64
TS_08L	2	Line13	70
FU_08	2	Line13	75
TS_07	2	Line13	88
TS_09	2	Line13	102
ISA_08	2	Line13	100
TS_08E	2	Line13	118
TH_08	1	Line14	61
HA_08	1	Line14	63
ISI_08	1	Line14	67
TS_08L	1	Line14	77
FU_08	1	Line14	88
TS_07	1	Line14	97
TS_09	1	Line14	113
ISA_08	1	Line14	118
TS_08E	1	Line14	131
TH_08	2	Line14	61
HA_08	2	Line14	65
ISI_08	2	Line14	67
TS_08L	2	Line14	78
FU_08	2	Line14	88
TS_07	2	Line14	99
