ID	PR11	PR12	IA14	IA13	PR14S	KS11	KS12
RIL1	1535.4403	1544.0694	1594.3281	1896.7313	1893.9063	2281.3052	2469.9615
RIL2	1559.5436	1575.2206	1579.9387	1861.2806	1908.7433	2340.1851	2417.4672
RIL3	1444.95	1492.1509	1634.3785	2065.41	2521.86	2886.46	3030.63
RIL4	1523.5862	1492.1509	1643.4917	1970.44	1910.4889	2580.05	2568.77
RIL5	1654.7716	1671.44	1654.52	1883.2261	1875.5781	2139.38	2180.77
RIL6	1464.7108	1409.7734	1634.3785	2037.96	2669.58	2928.19	3080.69
RIL7	1512.5223	1480.7288	1594.5679	1819.4051	1969.8372	2269.1494	2408.0216
RIL8	1464.7108	1492.1509	1704.41	2162.02	2589.29	3055.81	2979.69
RIL9	1571.0026	1565.5291	1565.3095	1872.3161	1897.3973	2153.53	2335.45
RIL10	1500.2731	1480.7288	1581.1378	1896.4382	1897.3973	1915.78	2417.6846
RIL11	1464.7108	1491.1125	1450.9142	1925.1016	1751.64	2024.54	2466.966
RIL12	1577.6019	1586.2965	1501.0371	1721.85	1846.7767	1833.3	1963.74
RIL13	1593.9205	1544.0694	1786.67	2218.27	2894.54	3307.95	3317.58
RIL14	1546.8992	1502.5346	1450.9142	1610.03	1817.98	1823.09	1911.92
RIL15	1454.83	1470.3451	1601.2829	1953.7651	2448.11	3272.34	3275.3
RIL16	1432.31	1448.5393	1463.1451	1843.5899	2254.8	2647.95	2753.43
RIL17	1511.3369	1564.8369	1475.3761	1608.01	1670.48	2015.78	2007.83
RIL18	1654.7716	1512.9183	1538.6892	2025.62	2154.86	3184.99	3246.84
RIL19	1500.2731	1544.0694	1645.4103	1924.2301	2030.0583	2354.6914	2469.9857
RIL20	1570.6074	1492.1509	1594.3281	1808.8803	2030.0583	2286.5896	2315.11
RIL21	1666.63	1543.7233	1552.1193	1725.13	1651.71	1929.31	2028.82
RIL22	1444.95	1448.5393	1426.45	1620.78	1735.94	1901.96	2254.48
RIL23	1444.95	1470.3451	1701.91	1993.48	2655.68	3162.22	2979.69
RIL24	1569.8172	1512.9183	1382.09	1717.29	1601.53	1686.97	1911.92
RIL25	1607.7503	1523.302	1463.1451	1697.14	1601.53	1901.96	2050.85
RIL26	1455.74	1428.118	1565.3095	1980.95	2372.18	2939.38	2899.17
RIL27	1629.878	1481.7672	1552.1193	1902.2604	1954.1274	2211.4804	2378.5011
RIL28	1665.84	1533.3396	1525.499	1782.6801	1801.39	1838.9	2086.58
RIL29	1454.83	1438.5017	1525.499	1939.2094	2254.8	2816.33	2990.34
RIL30	1557.9631	1512.9183	1579.9387	1771.4834	1817.98	2125.56	2329.85
RIL31	1618.8141	1533.6857	1643.4917	2088.57	1932.56	2843.29	2983.02
RIL32	1488.0238	1471.3834	1514.2273	1786.0391	1801.39	2094.03	2194.76
RIL33	1523.191	1595.6419	1608.9573	1843.5899	1618.98	2192.7481	2315.11
RIL34	1523.191	1460.3075	1474.177	1588.98	1636.44	1739.92	1929.1
RIL35	1802.57	1671.44	1498.6389	1682.69	1751.64	1988.52	2018.48
RIL36	1593.9205	1502.5346	1552.1193	1826.447	1720.66	2064.73	2216.52
RIL37	1703.37	1585.5496	1565.3095	1757.38	1767.35	1947.54	2050.13
RIL38	1488.0238	1501.4962	1426.45	1896.4382	2076.32	2672.33	2893.85
RIL39	1605.7746	1523.302	1619.9891	1885.4654	2013.4757	2166.87	2344.61
RIL40	1558.7533	1575.2206	1498.6389	1593.68	1602.84	1855.99	1915.59
RIL41	1454.83	1459.9614	1512.0689	1938.9855	2137.41	2636.79	2782.63
RIL42	1464.7108	1502.5346	1553.3184	1820.0769	1817.1	2048.78	2284.46
RIL43	1558.7533	1470.3451	1475.3761	1662.43	1704.08	1995.24	2267.01
RIL44	1606.1698	1599.4492	1438.68	1747.3	1719.35	1867.06	1805.36
RIL45	1511.3369	1492.1509	1512.0689	1949.0606	2105.99	2833.33	2755.62
RIL46	1478.1454	1459.9614	1594.5679	1843.5899	1767.35	2206.7083	2356.8076
RIL47	1740.52	1602.4222	1704.41	2090.81	1783.06	2307.3976	2443.0983
RIL48	1444.95	1418.0804	1362.9	1725.13	2044.02	2429.24	2709.17
RIL49	1454.83	1481.7672	1581.1378	1897.7817	2252.87	2931.07	3050.9
RIL50	1593.9205	1533.3396	1552.1193	1709.9	1769.97	1869.43	2018.48
RIL51	1618.8141	1554.107	1634.3785	1855.9062	1670.48	2152.91	2239.23
RIL52	1557.9631	1460.3075	1475.3761	1682.13	1635.57	1980.88	1980.38
RIL53	1753.16	1523.302	1619.9891	1910.9938	1650.84	2094.17	2316.63
RIL54	1547.6895	1522.9559	1487.607	1654.14	1751.64	1757.73	1870.69
RIL55	1419.67	1481.7672	1372.01	1808.8803	1952.3818	2722.95	2695.67
RIL56	1432.31	1438.5017	1403.19	1783.1279	2271.82	2811.37	2815.99
RIL57	1488.0238	1470.3451	1538.9291	1672.95	1897.3973	2094.65	2240.42
RIL58	1467.0816	1460.3075	1392.16	1807.0888	2076.32	2591.71	2786.79
RIL59	1444.95	1428.118	1342.51	1808.8803	1939.2903	2315.0187	2531.37
RIL60	1595.5011	1460.3075	1579.9387	1831.2736	1893.9063	2211.6703	2293.61
RIL61	1500.2731	1481.7672	1461.946	1966.98	1550.47	1867.06	2965.19
RIL62	1753.56	1575.2206	1608.9573	1770.1398	1752.08	1941.18	2138.52
RIL63	1454.83	1448.5393	1629.1024	2025.62	1932.56	3074.83	3133.28
RIL64	1558.7533	1512.9183	1450.9142	1745.73	1735.94	1863.07	1977.2
RIL65	1606.1698	1575.2206	1475.3761	1725.13	1752.08	1912.21	1945.28
RIL66	1547.6895	1523.302	1542.905	1831.2736	1635.57	2139.38	2396.8849
RIL67	1792.28	1656.91	1654.52	2001.15	1835.4307	2298.1382	2551.08
RIL68	1454.83	1492.1509	1746.62	2115	3080.87	3230.86	3244.11
RIL69	1478.1454	1502.5346	1414.22	1896.4382	2204.61	2852.91	2836.04
RIL70	1666.63	1554.107	1672.75	2009.97	1846.7767	2711.84	2916.61
RIL71	1444.95	1407.7	1487.607	1857.81	2187.59	2526.2	2722.21
RIL72	1618.0239	1523.302	1552.1193	1783.1279	1801.39	2040.63	2252.28
RIL73	1654.7716	1533.3396	1538.9291	1820.0769	1939.2903	2138.09	2344.61
RIL74	1464.7108	1481.7672	1414.22	1832.3932	2059.73	2712.13	2544.1493
RIL75	1629.878	1554.4531	1525.499	1771.4834	1783.06	2370.361	2356.4452
RIL76	1679.67	1627.83	1552.1193	1903.604	1704.52	2206.7083	2280.3
RIL77	1511.3369	1512.9183	1463.1451	1707.65	1670.48	1919.43	2062.69
RIL78	1454.83	1492.1509	1426.45	1845.6053	1670.48	1920	2270.9
RIL79	1570.6074	1470.3451	1382.8	1807.0888	2105.99	2570.41	2520.185
RIL80	1753.16	1616.76	1663.64	2036.17	1880.8147	2359.8909	2628.07
RIL81	1753.16	1595.988	1663.64	1896.4382	2076.32	2400.49	2491.6308
RIL82	1653.9813	1606.3717	1634.3785	1967.65	2121.7	2298.1382	2519.3395
RIL83	1631.4585	1491.1125	1619.9891	1953.3172	2505.72	2843.29	2932.94
RIL84	1547.6895	1460.3075	1654.52	2091.48	2571.18	2966.88	2971.67
RIL85	1488.0238	1459.9614	1538.6892	1771.4834	1852.0133	2192.7481	2442.3494
RIL86	1766.2	1606.7178	1725.51	2070.66	1967.2189	2276.4382	2377.9454
RIL87	1791.88	1595.2958	1634.3785	1910.5459	2120.39	2246.9982	2592.15
RIL88	1716.41	1564.8369	1619.9891	1864.8636	1941.0358	2420.36	2592.15
RIL89	1454.83	1492.1509	1538.9291	1953.7651	2137.85	3072.59	3174.11
RIL90	1464.7108	1481.7672	1474.177	1820.0769	1817.1	2153.34	2315.11
RIL91	1605.7746	1523.302	1538.9291	1795.8921	1986.4198	2263.8787	2463.5839
RIL92	1488.0238	1428.118	1475.3761	1716.17	1666.99	2153.53	2432.2033
RIL93	1478.1454	1470.3451	1438.68	1981.76	2137.85	2823.45	2898.15
RIL94	1830.61	1595.988	1634.3785	1863.785	2052.27	2152.05	2229.57
RIL95	1606.1698	1512.9183	1579.9387	1845.6053	2092.02	2525.09	2693.47
RIL96	1488.0238	1502.5346	1438.68	1734.53	1926.1987	2285.5788	2315.11
RIL97	1501.4585	1428.118	1645.4103	2097.98	2505.72	3307.95	3467.31
RIL98	1464.7108	1502.5346	1525.499	1963.83	2076.32	3143.21	2881.29
RIL99	1716.41	1574.5283	1579.9387	1953.0933	1635.57	2139.52	2554.95
RIL100	1678.48	1523.302	1654.52	1967.87	2108.17	2545.48	2815.32
RIL101	1629.878	1544.0694	1681.86	1995.64	1986.4198	2487.03	2707.53
RIL102	1740.12	1595.6419	1594.3281	1856.802	1783.06	2167.34	2356.8076
RIL103	1454.83	1492.1509	1525.499	1885.4654	2270.94	2606.88	2679.96
RIL104	1779.24	1595.6419	1538.9291	1795.8921	1769.97	2000.11	2128.86
RIL105	1467.0816	1459.9614	1579.9387	2024.3	2715.84	3162.22	3185
RIL106	1710.3	1501.4962	1552.1193	1807.0888	1835.4307	2124.09	2204.42
RIL107	1488.0238	1459.9614	1372.01	1697.14	1585.38	2011.79	2062.69
RIL108	1488.0238	1448.5393	1608.9573	1770.1398	1767.35	2048.78	2217.47
RIL109	1753.16	1544.0694	1736.54	2199.87	2044.02	2607.59	2984.78
RIL110	1464.7108	1492.1509	1525.499	1967.65	2372.18	3194.32	3317.58
RIL111	1593.9205	1615.72	1654.52	1709.9	1835.4307	2107.99	2050.13
RIL112	1478.1454	1512.9183	1525.499	1641.83	1550.47	1748.51	1871.34
RIL113	1517.9961	1502.5346	1538.9291	1939.6573	2121.7	3055.6	2981.33
RIL114	1454.83	1502.5346	1714.48	2078.05	2767.98	3275.21	3467.31
RIL115	1488.0238	1459.9614	1474.177	1709.9	1601.53	1935.17	2081.77
RIL116	1432.31	1459.9614	1342.51	1680.34	1967.2189	2683.28	2682.91
RIL117	1478.1454	1543.7233	1525.499	1910.9938	1897.3973	2355.6173	2578.72
RIL118	1630.6682	1470.3451	1594.5679	1723.05	1735.94	1801.77	2092.38
RIL119	1478.1454	1512.9183	1594.5679	1863.785	1769.97	2194.8373	2420.8492
RIL120	1523.191	1523.302	1372.01	1582.93	1550.47	1835.53	1871.34
RIL121	1488.0238	1481.7672	1498.6389	2036.4	2187.59	3090.19	3309.15
RIL122	1432.31	1459.9614	1403.19	1967.87	2014.3484	2893.44	3075.11
RIL123	1653.9813	1501.4962	1581.1378	1949.7815	1890.4152	2138.09	2293.61
RIL124	1558.7533	1533.6857	1654.52	1910.5459	1967.2189	2216.205	2519.3395
RIL125	1642.9175	1564.8369	1538.9291	1807.0888	1735.94	2051.32	2406.548
