env_code	Date	Tmax	Tmin	DL	GDD	DTR	PTT	PTR	PTD1	PTD2	PTS
PR11	20101204	84.2	69.8	11.88	27	15.12	320.76	2.272727273	171.072	1.212121212	312979.6454
PR11	20101205	86	62.6	11.9	24.3	12.4	289.17	2.042016807	278.46	1.966386555	492411.9564
PR11	20101206	87.8	64.4	11.88	26.1	14.22	310.068	2.196969697	277.992	1.96969697	502647.3429
PR11	20101207	84.2	71.6	11.87	27.9	16.03	331.173	2.350463353	149.562	1.061499579	276591.8865
PR11	20101208	86	73.4	11.87	29.7	17.83	352.539	2.50210615	149.562	1.061499579	282982.9698
PR11	20101209	87.8	71.6	11.87	29.7	17.83	352.539	2.50210615	192.294	1.364785173	363835.2469
PR11	20101210	86	73.4	11.87	29.7	17.83	352.539	2.50210615	149.562	1.061499579	282982.9698
PR11	20101211	84.2	68	11.85	26.1	14.25	309.285	2.202531646	191.97	1.367088608	346231.3329
PR11	20101212	87.8	71.6	11.87	29.7	17.83	352.539	2.50210615	192.294	1.364785173	363835.2469
PR11	20101213	87.8	69.8	11.85	28.8	16.95	341.28	2.430379747	213.3	1.518987342	398350.548
PR11	20101214	87.8	73.4	11.85	30.6	18.75	362.61	2.582278481	170.64	1.215189873	325959.9408
PR11	20101215	86	73.4	11.85	29.7	17.85	351.945	2.506329114	149.31	1.063291139	282030.1659
PR11	20101216	84.2	73.4	11.83	28.8	16.97	340.704	2.434488588	127.764	0.912933221	238204.2237
PR11	20101217	84.2	69.8	11.85	27	15.15	319.95	2.278481013	170.64	1.215189873	311400.936
PR11	20101218	84.2	64.4	11.83	24.3	12.47	287.469	2.054099746	234.234	1.673710904	411768.8495
PR11	20101219	86	69.8	11.85	27.9	16.05	330.615	2.35443038	191.97	1.367088608	354420.7731
PR11	20101220	82.4	71.6	11.83	27	15.17	319.41	2.282333052	127.764	0.912933221	232763.0105
PR11	20101221	86	66.2	11.85	26.1	14.25	309.285	2.202531646	234.63	1.670886076	423171.6291
PR11	20101222	84.2	69.8	11.83	27	15.17	319.41	2.282333052	170.352	1.217244294	310350.6806
PR11	20101223	84.2	73.4	11.85	28.8	16.95	341.28	2.430379747	127.98	0.911392405	239010.3288
PR11	20101224	84.2	62.6	11.83	23.4	11.57	276.822	1.978021978	255.528	1.825866441	443761.168
PR11	20101225	86	64.4	11.85	25.2	13.35	298.62	2.126582278	255.96	1.82278481	456182.1504
PR11	20101226	84.2	66.2	11.83	25.2	13.37	298.116	2.130177515	212.94	1.521555368	378869.6621
PR11	20101227	87.8	75.2	11.85	31.5	19.65	373.275	2.658227848	149.31	1.063291139	288399.7305
PR11	20101228	82.4	71.6	11.87	27	15.13	320.49	2.274641955	128.196	0.909856782	234339.7241
PR11	20101229	89.6	68	11.85	28.8	16.95	341.28	2.430379747	255.96	1.82278481	478020.6576
PR11	20101230	84.2	66.2	11.87	25.2	13.33	299.124	2.122999158	213.66	1.51642797	381436.0877
PR11	20101231	86	64.4	11.85	25.2	13.35	298.62	2.126582278	255.96	1.82278481	456182.1504
PR11	20110101	86	62.6	11.87	24.3	12.43	288.441	2.047177759	277.758	1.971356361	489932.3366
PR11	20110102	82.4	69.8	11.87	26.1	14.23	309.807	2.198820556	149.562	1.061499579	270200.8031
PR11	20110103	82.4	73.4	11.87	27.9	16.03	331.173	2.350463353	106.83	0.758213985	197565.6332
PR11	20110104	80.6	69.8	11.88	25.2	13.32	299.376	2.121212121	128.304	0.909090909	229247.4286
PR11	20110105	84.2	69.8	11.88	27	15.12	320.76	2.272727273	171.072	1.212121212	312979.6454
PR11	20110106	86	69.8	11.88	27.9	16.02	331.452	2.348484848	192.456	1.363636364	356217.5802
PR11	20110107	84.2	73.4	11.88	28.8	16.92	342.144	2.424242424	128.304	0.909090909	240222.0396
PR11	20110108	86	71.6	11.9	28.8	16.9	342.72	2.420168067	171.36	1.210084034	321375.3984
PR11	20110109	86	73.4	11.92	29.7	17.78	354.024	2.491610738	150.192	1.05704698	285372.0092
PR11	20110110	86	66.2	11.9	26.1	14.2	310.59	2.193277311	235.62	1.663865546	426750.2316
PR11	20110111	84.2	69.8	11.92	27	15.08	321.84	2.265100671	171.648	1.208053691	315090.8006
PR11	20110112	86	68	11.92	27	15.08	321.84	2.265100671	214.56	1.510067114	393863.5008
PR11	20110113	87.8	71.6	11.93	29.7	17.77	354.321	2.489522213	193.266	1.357921207	367522.7428
PR11	20110114	84.2	71.6	11.95	27.9	15.95	333.405	2.334728033	150.57	1.054393305	280332.7317
PR11	20110115	84.2	66.2	11.93	25.2	13.27	300.636	2.112321878	214.74	1.508801341	385301.9693
PR11	20110116	86	69.8	11.95	27.9	15.95	333.405	2.334728033	193.59	1.355648536	360427.7979
PR11	20110117	87.8	69.8	11.95	28.8	16.85	344.16	2.410041841	215.1	1.506276151	405102.132
PR11	20110118	87.8	69.8	11.97	28.8	16.83	344.736	2.406015038	215.46	1.503759398	406459.2571
PR11	20110119	86	71.6	11.98	28.8	16.82	345.024	2.404006678	172.512	1.202003339	325710.9366
PR11	20110120	84.2	68	11.98	26.1	14.12	312.678	2.178631052	194.076	1.352253756	353869.6391
PR11	20110121	86	64.4	12	25.2	13.2	302.4	2.1	259.2	1.8	467804.16
PR11	20110122	86	69.8	12	27.9	15.9	334.8	2.325	194.4	1.35	363450.24
PR11	20110123	87.8	73.4	12.02	30.6	18.58	367.812	2.545757072	173.088	1.198003328	335379.4629
PR11	20110124	87.8	69.8	12.02	28.8	16.78	346.176	2.396006656	216.36	1.49750416	409861.9987
PR11	20110125	84.2	66.2	12.03	25.2	13.17	303.156	2.094763092	216.54	1.496259352	391788.4205
PR11	20110126	86	69.8	12.03	27.9	15.87	335.637	2.319201995	194.886	1.346633416	365269.7628
PR11	20110127	87.8	62.6	12.07	25.2	13.13	304.164	2.087821044	304.164	2.087821044	552157.4258
PR11	20110128	86	69.8	12.08	27.9	15.82	337.032	2.309602649	195.696	1.341059603	368312.3965
PR11	20110129	84.2	66.2	12.08	25.2	13.12	304.416	2.086092715	217.44	1.490066225	395051.9501
PR11	20110130	87.8	66.2	12.1	27	14.9	326.7	2.231404959	261.36	1.785123967	487018.224
PR11	20110131	86	69.8	12.1	27.9	15.8	337.59	2.305785124	196.02	1.338842975	369532.9836
PR11	20110201	87.8	66.2	12.12	27	14.88	327.24	2.227722772	261.792	1.782178218	488629.5322
PR11	20110202	89.6	69.8	12.13	29.7	17.57	360.261	2.448474856	240.174	1.63231657	464381.7128
PR11	20110203	89.6	64.4	12.15	27	14.85	328.05	2.222222222	306.18	2.074074074	572893.398
PR11	20110204	84.2	66.2	12.15	25.2	13.05	306.18	2.074074074	218.7	1.481481481	399643.632
PR11	20110205	87.8	69.8	12.18	28.8	16.62	350.784	2.36453202	219.24	1.477832512	420846.0883
PR11	20110206	87.8	71.6	12.18	29.7	17.52	361.746	2.438423645	197.316	1.330049261	383087.4355
