env_code	date	TMAX	TMIN	DL	GDD	DTR	PTT	PTR	PTD1	PTD2	PTS
TS_07	2007-05-14	70.7	60.26	14.019	15.48	10.44	217.0141	1.1042	146.3584	0.7447	268703.4463
TS_07	2007-05-15	71.78	57.11	14.047	14.445	14.67	202.9089	1.0283	206.0695	1.0444	373092.4859
TS_07	2007-05-16	73.4	53.96	14.073	13.68	19.44	192.5186	0.9721	273.5791	1.3814	490346.0558
TS_07	2007-05-17	74.39	59.72	14.1	17.055	14.67	240.4755	1.2096	206.847	1.0404	391137.5415
TS_07	2007-05-18	75.38	59.63	14.126	17.505	15.75	247.2756	1.2392	222.4845	1.115	424311.5945
TS_07	2007-05-19	73.04	58.01	14.151	15.525	15.03	219.6943	1.0971	212.6895	1.0621	394430.2981
TS_07	2007-05-20	76.91	58.01	14.176	17.46	18.9	247.513	1.2317	267.9264	1.3332	512442.9773
TS_07	2007-05-21	72.59	56.39	14.2	14.49	16.2	205.758	1.0204	230.04	1.1408	421321.9406
TS_07	2007-05-22	76.01	62.69	14.224	19.35	13.32	275.2344	1.3604	189.4637	0.9364	373786.983
TS_07	2007-05-23	80.87	64.4	14.247	22.635	16.47	322.4808	1.5888	234.6481	1.156	485642.1625
TS_07	2007-05-24	80.87	66.2	14.269	23.535	14.67	335.8209	1.6494	209.3262	1.0281	439279.8498
TS_07	2007-05-25	81.725	65.03	14.291	23.3775	16.695	334.0879	1.6358	238.5882	1.1682	500385.3297
TS_07	2007-05-26	82.58	63.86	14.313	23.22	18.72	332.3479	1.6223	267.9394	1.3079	561599.7518
TS_07	2007-05-27	82.94	59.18	14.333	21.06	23.76	301.853	1.4693	340.5521	1.6577	693706.6167
TS_07	2007-05-28	67.46	59.18	14.353	13.32	8.27999999999999	191.182	0.928	118.8428	0.5769	216016.3424
TS_07	2007-05-29	72.05	54.5	14.372	13.275	17.55	190.7883	0.9237	252.2286	1.2211	458747.4755
TS_07	2007-05-30	70.79	57.02	14.391	13.905	13.77	200.1069	0.9662	198.1641	0.9568	364485.8908
