env_code	date	TMAX	TMIN	DL	GDD	DTR	PTT	PTR	PTD1	PTD2	PTS
WIH1_14	2014-05-09	78.02	58.7	14.401	18.36	19.32	264.4024	1.2749	278.2273	1.3416	547803.0836
WIH1_14	2014-05-10	67.64	42.32	14.439	8.82	25.32	127.352	0.6108	365.5955	1.7536	580460.4916
WIH1_14	2014-05-11	74.66	51.32	14.478	12.99	23.34	188.0692	0.8972	337.9165	1.6121	616338.9303
WIH1_14	2014-05-12	76.64	61.64	14.515	19.14	15	277.8171	1.3186	217.725	1.0334	437003.2937
WIH1_14	2014-05-13	72.98	50.72	14.552	11.85	22.26	172.4412	0.8143	323.9275	1.5297	583096.2276
WIH1_14	2014-05-14	63.62	40.7	14.589	6.81	22.92	99.3511	0.4668	334.3799	1.571	508900.925
WIH1_14	2014-05-15	56.66	39.32	14.625	3.33	17.34	48.7013	0.2277	253.5975	1.1856	355976.7127
WIH1_14	2014-05-16	54.32	36.68	14.66	2.16	17.64	31.6656	0.1473	258.6024	1.2033	344991.1177
WIH1_14	2014-05-17	55.64	38.66	14.695	2.82	16.98	41.4399	0.1919	249.5211	1.1555	345770.9948
WIH1_14	2014-05-18	64.34	44.66	14.729	7.17	19.68	105.6069	0.4868	289.8667	1.3361	465369.7142
WIH1_14	2014-05-19	69.32	47	14.763	9.66	22.32	142.6106	0.6543	329.5102	1.5119	565845.4438
WIH1_14	2014-05-20	73.34	54.68	14.795	14.01	18.66	207.278	0.9469	276.0747	1.2612	522900.9144
WIH1_14	2014-05-21	84.32	56.66	14.827	20.49	27.66	303.8052	1.3819	410.1148	1.8655	857267.298
WIH1_14	2014-05-22	80.66	50.06	14.859	15.36	30.6	228.2342	1.0337	454.6854	2.0594	883166.5893
WIH1_14	2014-05-23	72.32	47	14.889	11.16	25.32	166.1612	0.7495	376.9895	1.7006	669742.7266
WIH1_14	2014-05-24	72.98	44.72	14.919	11.49	28.26	171.4193	0.7702	421.6109	1.8942	740334.6024
WIH1_14	2014-05-25	77.6	48.32	14.948	13.8	29.28	206.2824	0.9232	437.6774	1.9588	823819.3068
WIH1_14	2014-05-26	83	64.28	14.976	23.64	18.72	354.0326	1.5785	280.3507	1.25	618359.8493
WIH1_14	2014-05-27	83.96	61.64	15.004	22.8	22.32	342.0912	1.5196	334.8893	1.4876	731593.227
WIH1_14	2014-05-28	80.3	54.68	15.03	17.49	25.62	262.8747	1.1637	385.0686	1.7046	781207.6912
WIH1_14	2014-05-29	75.98	51.98	15.056	13.98	24	210.4829	0.9285	361.344	1.594	696152.978
WIH1_14	2014-05-30	80.66	50.72	15.08	15.69	29.94	236.6052	1.0405	451.4952	1.9854	894506.9858
WIH1_14	2014-05-31	84.32	52.7	15.104	18.51	31.62	279.575	1.2255	477.5885	2.0935	988393.277
WIH1_14	2014-06-01	87.02	66.38	15.127	26.7	20.64	403.8909	1.7651	312.2213	1.3644	724503.7978
WIH1_14	2014-06-02	84.68	66.62	15.149	25.65	18.06	388.5718	1.6932	273.5909	1.1922	627082.3904
WIH1_14	2014-06-03	78.32	62.36	15.17	20.34	15.96	308.5578	1.3408	242.1132	1.0521	516697.5571
WIH1_14	2014-06-04	75.68	59.66	15.19	17.67	16.02	268.4073	1.1633	243.3438	1.0546	500269.7369
WIH1_14	2014-06-05	72.08	50.66	15.209	11.37	21.42	172.9263	0.7476	325.7768	1.4084	608144.6706
WIH1_14	2014-06-06	78.68	58.34	15.227	18.51	20.34	281.8518	1.2156	309.7172	1.3358	646195.0208
WIH1_14	2014-06-07	80.06	56	15.244	18.03	24.06	274.8493	1.1828	366.7706	1.5783	760718.4856
WIH1_14	2014-06-08	77.66	55.34	15.26	16.5	22.32	251.79	1.0813	340.6032	1.4626	691281.4427
WIH1_14	2014-06-09	73.7	49.28	15.275	11.85	24.42	181.0087	0.7758	373.0155	1.5987	700716.8906
WIH1_14	2014-06-10	73.94	53.3	15.289	13.62	20.64	208.2362	0.8908	315.565	1.35	613891.351
WIH1_14	2014-06-11	69.98	57.68	15.302	13.83	12.3	211.6267	0.9038	188.2146	0.8038	367668.4352
WIH1_14	2014-06-12	73.34	52.7	15.314	13.02	20.64	199.3883	0.8502	316.081	1.3478	610092.0601
WIH1_14	2014-06-13	74.48	51.08	15.325	12.78	23.4	195.8535	0.8339	358.605	1.5269	690030.2512
WIH1_14	2014-06-14	75.68	49.7	15.334	12.84	25.98	196.8886	0.8374	398.3773	1.6943	765911.0409
