line_code	Intcp_mean	Slope_mean	Intcp_para	Slope_para
G2F_1	268.4357	0.8059	268.4357	-2e-04
G2F_10	237.9888	3.0473	239.1679	0
G2F_100	226.3028	1.3389	226.2962	-2e-04
G2F_101	249.1797	1.3354	252.3294	-2e-04
G2F_102	254.3396	0.8098	253.1351	-2e-04
G2F_103	236.6815	0.6393	237.9872	-2e-04
G2F_104	251.5439	1.0362	251.5439	-2e-04
G2F_11	246.407	0.587	246.407	-1e-04
G2F_12	267.2579	1.142	267.2579	-2e-04
G2F_13	270.0783	0.7584	270.0783	-2e-04
G2F_14	250.8729	1.0557	250.8729	-2e-04
G2F_15	204.837	1.3206	204.837	-2e-04
G2F_16	229.1215	0.9471	229.1215	-1e-04
G2F_17	217.1671	0.8757	220.865	-1e-04
G2F_18	206.1428	1.3382	206.1428	-2e-04
G2F_19	245.342	0.768	245.342	-1e-04
G2F_2	201.6483	1	200.837	-2e-04
G2F_20	245.918	0.827	245.918	-2e-04
G2F_21	280.4232	0.5272	279.5571	-1e-04
G2F_22	247.0174	0.8258	252.1148	-3e-04
G2F_23	230.0608	1.5515	227.8644	-3e-04
G2F_24	269.5057	0.9252	268.2747	-2e-04
G2F_25	232.2761	0.8569	232.6983	-1e-04
G2F_26	282.5976	0.5694	282.4679	-2e-04
G2F_27	219.6524	0.4386	221.5847	-2e-04
G2F_28	254.9292	0.7751	253.0779	-1e-04
G2F_29	249.1239	0.8073	249.1239	-2e-04
G2F_3	248.6047	0.7096	247.9481	-1e-04
G2F_30	215.9863	0.9301	215.4271	-1e-04
G2F_31	265.7522	1.0261	264.7233	-2e-04
G2F_32	233.0573	0.5081	235.1464	-2e-04
G2F_33	254.8141	0.9235	254.8141	-2e-04
G2F_34	245.5054	0.7976	245.5054	-1e-04
G2F_35	258.1687	0.8095	258.1687	-2e-04
G2F_36	257.7498	0.834	257.7498	-2e-04
G2F_37	229.8432	0.7849	229.8432	-2e-04
G2F_38	224.5971	0.7467	224.5971	-2e-04
G2F_39	225.911	0.9433	219.4068	1e-04
G2F_4	246.7059	0.8328	246.7059	-2e-04
G2F_40	218.7011	1.7622	217.7159	-3e-04
G2F_41	219.0023	1.2843	218.347	-2e-04
G2F_42	220.2035	1.0132	220.2672	-2e-04
G2F_43	217.1592	0.7841	214.2225	0
G2F_44	223.5987	1.0507	225.553	-3e-04
G2F_45	234.4883	2.5668	237.8601	-2e-04
G2F_46	223.7874	1.8243	230.5724	-2e-04
G2F_47	235.9636	0.3215	235.8335	-1e-04
G2F_48	232.9702	0.2358	233.2405	-1e-04
G2F_49	240.4002	0.8396	240.4002	-1e-04
G2F_5	252.6802	0.9336	251.8976	-2e-04
G2F_50	248.136	1.7239	248.136	-3e-04
G2F_51	238.6643	1.1372	238.6643	-2e-04
G2F_52	252.3527	1.1472	252.3527	-2e-04
G2F_53	247.3985	0.9154	247.3985	-2e-04
G2F_54	244.8243	1.1358	244.8243	-3e-04
G2F_55	196.2264	1.3509	196.2264	-1e-04
G2F_56	223.5459	1.6602	223.5459	-3e-04
G2F_57	269.1602	0.7828	269.1602	-2e-04
G2F_58	211.4244	0.9218	210.2434	-2e-04
G2F_59	241.0905	1.154	246.6212	-3e-04
G2F_6	260.5518	0.9702	260.5518	-3e-04
G2F_60	247.233	0.0964	247.3909	0
G2F_61	214.5846	0.7847	213.9538	-2e-04
G2F_62	226.3852	0.3983	223.2239	1e-04
G2F_63	243.4162	0.9016	243.4162	-1e-04
G2F_64	226.9571	0.4427	225.5822	-1e-04
G2F_65	218.9703	0.6893	216.8166	-1e-04
G2F_66	233.0377	1.4069	233.2622	-3e-04
G2F_67	226.1391	0.7683	227.9732	-2e-04
G2F_68	223.5777	0.8848	223.0695	-1e-04
G2F_69	247.2224	0.6299	246.986	-1e-04
G2F_7	258.2069	0.8357	258.2069	-2e-04
G2F_70	246.754	0.628	247.7518	-2e-04
G2F_71	226.7475	1.3067	227.4602	-2e-04
G2F_72	234.1139	0.8732	234.5249	-2e-04
G2F_73	243.3952	1.675	243.3952	-3e-04
G2F_74	250.6779	1.1664	250.6779	-3e-04
G2F_75	232.9067	1.7541	232.9067	-3e-04
G2F_76	240.3426	1.0882	240.8145	-1e-04
G2F_77	232.6208	1.2322	232.6208	-2e-04
G2F_78	244.2637	0.7269	244.2637	-1e-04
G2F_79	251.3163	0.9846	251.6816	-1e-04
G2F_8	256.2887	0.9139	256.2887	-2e-04
G2F_80	224.4718	1.0679	224.7907	-2e-04
G2F_81	259.7241	1.259	259.7241	-3e-04
G2F_82	265.6283	1.0037	265.6283	-2e-04
G2F_83	245.3414	1.1929	244.6144	-2e-04
G2F_84	246.371	1.0629	246.371	-2e-04
G2F_85	241.4579	0.6437	240.5214	-1e-04
G2F_86	229.8023	1.0178	231.2967	-2e-04
G2F_87	226.6563	1.2954	226.6563	-2e-04
G2F_88	260.7412	0.1714	260.746	-1e-04
G2F_89	257.9229	1.0633	256.5465	-2e-04
G2F_9	254.8974	1.4083	254.8974	-3e-04
G2F_90	233.1108	0.5817	233.1108	-1e-04
G2F_91	280.2173	0.6103	280.2173	-2e-04
G2F_92	223.1335	1.245	223.1335	-2e-04
G2F_93	267.105	0.7712	267.105	-2e-04
G2F_94	224.031	1.0529	224.031	-2e-04
G2F_95	269.0464	1.0687	269.0464	-1e-04
G2F_96	238.9448	1.2441	238.9448	-3e-04
G2F_97	232.1568	0.9054	232.1568	-2e-04
G2F_98	234.9121	1.2501	233.6002	-1e-04
G2F_99	226.9281	1.2444	226.9281	-2e-04
G2F_105	219.6722	1.1192	220.0038	-2e-04
G2F_106	212.6707	0.9248	214.1679	-1e-04
G2F_107	234.9964	1.0414	234.9916	-2e-04
G2F_108	233.7116	0.7248	234.537	-1e-04
G2F_109	235.6804	1.0128	235.5392	-2e-04
G2F_110	228.715	1.1329	228.5729	-2e-04
G2F_111	237.1347	0.3796	237.0634	0
G2F_112	239.6811	1.0668	239.5368	-2e-04
G2F_113	241.4357	1.3241	241.2419	-2e-04
G2F_114	225.5913	0.9888	224.8288	-2e-04
G2F_115	210.5894	1.34	208.388	-2e-04
G2F_116	234.6388	0.8336	233.261	-1e-04
G2F_117	199.3231	1.4355	199.1108	-2e-04
G2F_118	235.9286	1.1074	237.7652	-3e-04
G2F_119	218.9681	1.338	216.6252	-2e-04
G2F_120	218.3695	0.9454	220.6747	-1e-04
