line_code	INH1_15	MNH1_15	ILH1_15	OHH1_15	DEH1_15	NEH4_15	ONH1_15	ONH2_15
G2F_1	250.336362610896	251.00044725999	279.349584986808	277.587400475829	273.728889916452	269.031633679165	252.501362612393	293.950307215067
G2F_10	NA	220.174688044308	240.560256298977	241.509023009706	247.031404326675	220.761867796437	265.000454150344	NA
G2F_100	194.39003369556	214.174688044308	NA	204.530422865098	226.02187562342	228.568999073727	254.986855911278	261.229244476072
G2F_101	NA	235.825636711278	NA	261.612874745172	239.155962537455	258.790008835207	255.021512988923	281.394690794628
G2F_102	243.93785684998	246.499848840406	253.407194087057	242.225061456755	246.777750926626	255.614015112553	NA	287.877036800807
G2F_103	NA	249.825907490226	249.780644958231	NA	226.789101083006	228.790008835207	220.014030992249	262.182559122844
G2F_104	223.810053774663	247.999834512924	261.881377198263	256.533369895285	262.045047343101	249.27387772413	225.019806951765	285.787792075703
G2F_105	NA	223.000130619483	212.355719297841	220.919700048411	NA	NA	217.48018864649	252.238460090242
G2F_106	NA	218.000246667812	209.780644958231	205.766929112166	NA	210.423103524027	217.486410588016	239.48711769414
G2F_107	NA	216.825636711278	245.425367508215	237.530422865098	NA	239.942876324812	NA	258.125917915102
G2F_108	NA	217.825636711278	240.089348939755	246.760564519984	NA	232.508940373539	235.026702652756	249.58758258389
G2F_109	195.556191652693	265.825907490226	223.609821033897	NA	NA	211.739829637732	260.014030992249	255.989561736113
G2F_11	233.697922559656	245.000283440453	238.148630917889	257.627501429012	257.107721943437	235.538969723633	235.008491513079	269.126411052702
G2F_110	199.647921487863	223.174688044308	218.609821033897	NA	NA	238.790008835207	229.973521381702	260.58758258389
G2F_111	221.929945144693	235.825315277107	236.421659930498	NA	NA	220.804926701079	269.985734831254	237.335671032978
G2F_112	201.223785586728	246.825588952285	245.801447268579	NA	NA	232.508940373539	250.014030992249	260.29436105764
G2F_113	195.201861214621	232.825878836599	240.560256298977	NA	NA	261.739829637732	254.973521381702	261.552006522074
G2F_114	186.110038168593	224.174789784496	234.243028900984	228.100364290539	NA	238.081646927902	229.995907276122	237.724489769624
G2F_115	168.109122670874	215.500348637361	194.808240824316	201.206815087012	NA	NA	242.522625813601	237.408134074845
G2F_116	199.063915896633	233.825907490226	234.243028900984	247.467193388574	NA	NA	250.031261567824	240.724489769624
G2F_117	150.467661101823	189.000138498296	204.061466870079	NA	NA	199.469459255362	230.007363140004	221.023577629332
G2F_118	203.059578070404	231.174789784496	249.315426945414	237.530422865098	NA	230.618575160501	235.028962098845	NA
G2F_119	173.895290498114	227.174789784496	219.835836690401	207.162132626252	NA	NA	235.009499698078	246.755900324552
G2F_12	239.110038168593	259.000093851068	252.085038666437	262.862029416398	282.580516485765	270.385856264822	272.476565829709	299.563109493656
G2F_120	NA	216.5002292429	NA	213.295786833498	NA	212.508940373539	232.49298736868	242.369078149993
G2F_13	256.743068398693	258.500213247887	265.125416303133	282.317287169271	282.462154114459	260.415165630586	254.987775071906	300.07529555959
G2F_14	210.836757452305	253.500222788315	255.274204024575	262.2925540773	240.001748284006	260.268562175764	257.503172189343	267.306187173606
G2F_15	155.223785586728	218.999697460024	206.421659930498	207.402682136538	194.38848755812	210.182077338908	217.491856750657	228.586060429478
G2F_16	190.483002689017	232.9999968931	236.167193532429	228.572270354745	221.919380565505	229.593787117114	255.00734846505	238.229244476072
G2F_17	NA	210.499980901006	NA	NA	201.828413924732	212.531833364229	250.003623910089	234.516627574965
G2F_18	168.949976024242	202.000133723482	201.94842786725	207.076085144894	204.536644748428	189.129988987233	237.5155063435	237.985908855774
G2F_19	224.812862967386	237.499785092754	251.462623989655	241.992702590531	251.589325822157	240.202361977253	249.999096965306	265.177364441389
G2F_2	167.201861214621	213.174688044308	NA	191.517890841876	201.858295699335	NA	210.010759539714	223.709084198549
G2F_20	228.006172102762	242.000337409024	253.153028584601	250.760313747288	241.86851063577	249.131862133405	224.993776186976	277.429646388121
G2F_21	271.646504039132	277.500012660821	275.801447268579	290.358154811894	271.38848755812	272.531833364229	NA	301.106353916893
G2F_22	222.036060233342	236.999692681439	NA	264.612874745172	260.02187562342	247.382464973681	229.998866923022	NA
G2F_23	193.563476736016	222.00013849933	228.582305707299	223.096241536322	229.789101083006	228.081646927902	NA	277.574747772217
G2F_24	243.712823400675	254.000334310547	275.902605501286	268.329083871433	278.97253181023	270.891409048835	NA	290.116644968742
G2F_25	207.647921487863	NA	194.594189841733	228.760564519984	240.904628982265	261.512473862717	249.992644981495	248.006569682722
G2F_26	275.467661101823	NA	279.835836690401	279.78780946945	294.723533417893	302.531833364229	235.013584421973	314.468702312972
G2F_27	205.36442271766	219.999479437008	230.425367508215	228.78780946945	220.095894304186	199.942876324812	NA	NA
G2F_28	236.467661101823	241.000042978011	253.196210678232	245.467193388574	261.155962537455	268.790008835207	NA	NA
G2F_29	228.650636322431	255.499907598055	240.889258192766	263.48810819914	249.977095001761	245.176874125419	230.008498199539	279.300763285216
G2F_3	226.563476736016	247.174497003738	NA	258.729967174224	244.38848755812	NA	247.510983569634	265.545785678765
G2F_30	185.201861214621	205.174793109127	214.315426945414	208.295786833498	232.139157348109	NA	234.924169560572	229.755900324552
G2F_31	239.448939635136	259.825818193703	NA	279.78780946945	269.095894304186	NA	244.998434051712	298.876264889909
G2F_32	220.556191652693	223.00002865071	236.525267847865	238.758888321837	221.14724731764	248.568999073727	229.973521381702	NA
G2F_33	227.795947455091	240.999624369754	259.931776605442	266.802909981975	264.9476206295	260.506853680931	239.99830128194	277.52991514464
G2F_34	225.129856607887	232.499856727961	246.72895380629	237.781717462448	252.466092304558	254.627749077304	249.994334982459	264.815016045309
G2F_35	237.747211036175	254.999906140422	264.439196934407	268.992542115225	251.986805481653	274.94570267361	225.005991051179	287.231923736899
G2F_36	241.502565643914	239.00002865071	268.113407388397	266.717515014708	263.259279251569	260.660921099718	235.010182361708	287.734575084255
G2F_37	216.654768605731	226.000297767267	231.954808393574	222.224840661078	231.175082643279	215.017872760283	234.986855911278	260.73079447404
G2F_38	206.018977591712	226.499761207343	222.341769390744	228.698075562018	221.365836836015	220.173231186125	222.487214531894	249.19212626537
G2F_39	208.929945144693	211.174369508434	219.243028900984	194.530422865098	220.553150850647	NA	275.014030992249	NA
G2F_4	230.39003369556	233.174688044308	245.734596217056	250.096241536322	245.902567656343	244.797467768143	249.999299794331	273.552006522074
G2F_40	170.201861214621	224.173933462401	204.875601905281	211.295786833498	198.02187562342	NA	255.026702652756	NA
G2F_41	192.338142010345	192.174369508434	234.168564554793	210.760564519984	194.14724731764	NA	254.998434051712	NA
G2F_42	186.467661101823	230.825588952285	214.875601905281	214.530422865098	231.584426354391	NA	214.986855911278	NA
G2F_43	200.929945144693	210.825907490226	219.243028900984	199.309017563254	196.031404326675	NA	254.985279449602	NA
G2F_44	188.895290498114	237.824996752514	212.752282231808	230.561926206545	217.553150850647	NA	225.021064929085	NA
G2F_45	NA	219.175257808727	NA	242.309017563254	228.031404326675	238.568999073727	249.924169560572	NA
G2F_46	NA	NA	NA	227.358154811894	225.553150850647	231.739829637732	224.995907276122	271.136657251201
G2F_47	227.647921487863	232.173933462401	243.582305707299	231.100364290539	229.789101083006	241.739829637732	NA	NA
G2F_48	NA	237.500103402034	NA	230.467193388574	225.834453615198	248.278357543988	220.018548974445	242.205901799458
G2F_49	215.435853537296	236.000191030706	249.168564554793	227.844135922012	230.31081490461	234.122196293291	275.003960420181	255.31608260723
G2F_5	231.341990860603	243.50011629267	232.187417399982	271.686719632578	262.665522590367	NA	242.517547960667	282.757414622605
G2F_50	196.56181003814	230.825636711278	244.875601905281	261.729967174224	239.553150850647	258.797294713795	269.988694232534	282.755900324552
G2F_51	195.929945144693	235.99992668843	239.294075876488	249.540916337332	247.440085661378	244.704291997854	240.020366822503	256.385070853367
G2F_52	220.299768484679	243.999988781325	258.719619789608	242.893383433812	257.069614414671	255.352372060624	259.999997541044	280.48711769414
G2F_53	227.655949691607	237.000214910202	241.001858736489	250.512877003861	256.556010488007	248.782271156294	239.987775071906	277.691296167641
G2F_54	216.929945144693	245.499780308816	240.220974718331	254.40902028648	239.525938149952	250.841352981272	227.508710132523	283.658969343486
G2F_55	151.338142010345	183.825878836599	188.807506794745	184.561926206545	187.139157348109	177.382464973681	290.031261567824	206.724489769624
G2F_56	170.059578070404	229.825025411614	228.196210678232	224.309017563254	215.584426354391	228.278357543988	229.988694232534	262.125917915102
G2F_57	249.742499934239	274.999683130474	251.835827323527	276.431603284152	281.879754498835	265.592485660232	254.98755250092	297.81196763535
G2F_58	178.965675365728	205.99978508684	221.420815585782	208.227198174108	214.587260277577	219.448466352245	NA	226.724489769624
G2F_59	211.059578070404	233.825818193703	238.807506794745	NA	239.904628982264	228.081646927902	264.924169560572	NA
