env_code	pop_code	ril_code	Prd_trait_mean	Prd_trait_kPara	Obs_trait	Line_mean
DEH1_15	1	G2F_1	268.337	260.879	273.728889916452	267.679585548593
ILH1_15	1	G2F_1	267.026	267.057	279.349584986808	266.87662910997
INH1_15	1	G2F_1	238.609	252.507	250.336362610896	271.021375163672
MNH1_15	1	G2F_1	265.489	265.636	251.00044725999	270.926505928087
NEH4_15	1	G2F_1	270.433	264.91	269.031633679165	268.350622153919
OHH1_15	1	G2F_1	267.69	274.04	277.587400475829	267.128369754396
ONH1_15	1	G2F_1	275.752	265.707	252.501362612393	270.712089449172
ONH2_15	1	G2F_1	282.385	308.469	293.950307215067	264.79081164879
DEH1_15	1	G2F_10	238.785	235.835	247.031404326675	237.601257859954
ILH1_15	1	G2F_10	238.067	238.794	240.560256298977	238.895487465494
MNH1_15	1	G2F_10	210.926	245.628	220.174688044308	242.972601116428
NEH4_15	1	G2F_10	251.488	243.131	220.761867796437	242.855165166002
OHH1_15	1	G2F_10	239.525	228.176	241.509023009706	238.705734123348
ONH1_15	1	G2F_10	242.93	231.202	265.000454150344	234.007447895221
DEH1_15	1	G2F_100	227.469	219.033	226.02187562342	226.313374011007
INH1_15	1	G2F_100	179.345	216.377	194.39003369556	231.58534766565
MNH1_15	1	G2F_100	218.461	222.284	214.174688044308	228.287905274192
NEH4_15	1	G2F_100	229.45	222.096	228.568999073727	225.888853435956
OHH1_15	1	G2F_100	230.898	238.971	204.530422865098	229.895282804061
ONH1_15	1	G2F_100	228.793	214.877	254.986855911278	221.485877296364
ONH2_15	1	G2F_100	258.833	239.632	261.229244476072	220.445479202232
DEH1_15	1	G2F_101	252.748	248.592	239.155962537455	258.528944815042
MNH1_15	1	G2F_101	243.477	250.426	235.825636711278	259.195009980277
NEH4_15	1	G2F_101	250.782	246.645	258.790008835207	254.602135555491
OHH1_15	1	G2F_101	247.212	258.386	261.612874745172	254.037562373498
ONH1_15	1	G2F_101	256.004	245.104	255.021512988923	255.355834724748
ONH2_15	1	G2F_101	297.415	300.022	281.394690794628	250.081199163607
DEH1_15	1	G2F_102	256.293	247.998	246.777750926626	254.926835524593
ILH1_15	1	G2F_102	254.649	253.265	253.407194087057	253.821928331188
INH1_15	1	G2F_102	210.265	232.828	243.93785684998	255.400151204034
MNH1_15	1	G2F_102	249.68	248.842	246.499848840406	254.973152538963
NEH4_15	1	G2F_102	256.262	249.327	255.614015112553	253.454124826938
OHH1_15	1	G2F_102	256.959	262.397	242.225061456755	255.685617102905
ONH2_15	1	G2F_102	254.437	251.087	287.877036800807	248.076954545563
DEH1_15	1	G2F_103	239.583	234.769	226.789101083006	242.118630279751
ILH1_15	1	G2F_103	233.565	235.75	249.780644958231	237.520321504706
MNH1_15	1	G2F_103	222.55	229.058	249.825907490226	237.511268998307
NEH4_15	1	G2F_103	240.106	236.864	228.790008835207	241.718448729311
ONH1_15	1	G2F_103	243.852	237.588	220.014030992249	243.473644297903
ONH2_15	1	G2F_103	169.059	331.055	262.182559122844	235.039938671784
DEH1_15	1	G2F_104	250.888	241.191	262.045047343101	250.043730304676
ILH1_15	1	G2F_104	250.259	250.298	261.881377198263	250.067111753939
INH1_15	1	G2F_104	221.214	233.589	223.810053774663	255.505872243024
MNH1_15	1	G2F_104	244.353	244.762	247.999834512924	252.050189280416
NEH4_15	1	G2F_104	254.559	247.484	249.27387772413	251.868183107386
OHH1_15	1	G2F_104	251.556	259.983	256.533369895285	250.831112797221
ONH1_15	1	G2F_104	261.949	249.054	225.019806951765	255.333050360581
ONH2_15	1	G2F_104	267.656	297.08	285.787792075703	246.65190962859
DEH1_15	1	G2F_11	245.354	239.282	257.107721943437	244.878315805203
ILH1_15	1	G2F_11	247.696	247.729	238.148630917889	247.586757380282
INH1_15	1	G2F_11	223.832	232.966	233.697922559656	248.222572860029
MNH1_15	1	G2F_11	242.225	242.103	245.000283440453	246.607949877058
NEH4_15	1	G2F_11	249.527	245.353	235.538969723633	247.959566122318
OHH1_15	1	G2F_11	245.212	250.091	257.627501429012	244.804061592978
ONH1_15	1	G2F_11	251.702	244.057	235.008491513079	248.035348723826
ONH2_15	1	G2F_11	251.325	268.09	269.126411052702	243.161360218166
DEH1_15	1	G2F_12	265.998	257.552	282.580516485765	265.068961670098
ILH1_15	1	G2F_12	269.638	269.616	252.085038666437	269.42545850143
INH1_15	1	G2F_12	229.48	255.414	239.110038168593	271.279030001122
MNH1_15	1	G2F_12	260.117	262.584	259.000093851068	268.437593475054
NEH4_15	1	G2F_12	269.751	263.156	270.385856264822	266.811055987375
OHH1_15	1	G2F_12	268.688	275.774	262.862029416398	267.885888394293
ONH1_15	1	G2F_12	273.032	260.717	272.476565829709	266.512383192391
ONH2_15	1	G2F_12	291.907	288.813	299.563109493656	262.642876954685
DEH1_15	1	G2F_13	268.925	261.137	282.462154114459	268.309174483009
ILH1_15	1	G2F_13	270.927	270.97	265.125416303133	270.785851313199
INH1_15	1	G2F_13	235.367	251.05	256.743068398693	271.983329585262
MNH1_15	1	G2F_13	266.435	266.178	258.500213247887	271.73230889252
NEH4_15	1	G2F_13	273.464	268.053	260.415165630586	271.45874426642
OHH1_15	1	G2F_13	268.857	275.248	282.317287169271	268.329869760893
ONH1_15	1	G2F_13	276.979	267.108	254.987775071906	272.234085774803
ONH2_15	1	G2F_13	275.618	295.456	300.07529555959	265.793011419419
DEH1_15	1	G2F_14	253.296	246.288	240.001748284006	252.425951411601
ILH1_15	1	G2F_14	250.44	250.422	255.274204024575	250.244172020091
INH1_15	1	G2F_14	241.135	247.366	210.836757452305	256.592378673273
MNH1_15	1	G2F_14	242.422	244.758	253.500222788315	250.497597910986
NEH4_15	1	G2F_14	252.219	246.056	260.268562175764	249.530692284207
OHH1_15	1	G2F_14	249.978	255.95	262.2925540773	249.241550583988
ONH1_15	1	G2F_14	255.913	244.474	257.503172189343	249.925747996553
ONH2_15	1	G2F_14	290.679	323.818	267.306187173606	248.525317284515
DEH1_15	1	G2F_15	207.416	198.878	194.38848755812	206.329688518976
ILH1_15	1	G2F_15	204.856	204.824	206.421659930498	204.61066389435
INH1_15	1	G2F_15	191.814	201.509	155.223785586728	211.92464594346
MNH1_15	1	G2F_15	192.305	195.637	218.999697460024	202.813801390132
NEH4_15	1	G2F_15	207.466	199.963	210.182077338908	204.073461407435
OHH1_15	1	G2F_15	205.395	212.986	207.402682136538	204.470517864916
ONH1_15	1	G2F_15	210.42	196.381	217.491856750657	203.029207205756
ONH2_15	1	G2F_15	250.585	276.772	228.586060429478	201.444320965925
DEH1_15	1	G2F_16	230.93	226.031	221.919380565505	230.150406218218
ILH1_15	1	G2F_16	228.291	228.234	236.167193532429	228.1150043658
INH1_15	1	G2F_16	225.276	233.24	190.483002689017	234.641317343431
MNH1_15	1	G2F_16	221.265	224.662	232.9999968931	228.567461028562
